Variable,Date,Location,Value
Newly reported contacts,7/10/2014,Nimba County,0.0
Total contacts listed,7/10/2014,Nimba County,0.0
Currently under follow-up,7/10/2014,Nimba County,0.0
Contacts seen,7/10/2014,Nimba County,0.0
Contacts who completed 21 day follow-up,7/10/2014,Nimba County,0.0
Contacts lost to follow-up,7/10/2014,Nimba County,0.0
New admissions,7/10/2014,Nimba County,0.0
Total no. currently in Treatment Units,7/10/2014,Nimba County,0.0
Total discharges,7/10/2014,Nimba County,0.0
Cumulative admission/isolation,7/10/2014,Nimba County,0.0
Newly Reported Cases in HCW,7/10/2014,Nimba County,0.0
Cumulative cases among HCW,7/10/2014,Nimba County,0.0
Newly Reported deaths in HCW,7/10/2014,Nimba County,0.0
Cumulative deaths among HCW,7/10/2014,Nimba County,0.0
New Case/s (Suspected),7/10/2014,Nimba County,0.0
New Case/s (Probable),7/10/2014,Nimba County,0.0
New case/s (confirmed),7/10/2014,Nimba County,0.0
Total suspected cases,7/10/2014,Nimba County,0.0
Total probable cases,7/10/2014,Nimba County,0.0
Total confirmed cases,7/10/2014,Nimba County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,Nimba County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,Nimba County,0.0
Specimens collected,7/10/2014,River Gee County,0.0
Specimens pending for testing,7/10/2014,River Gee County,0.0
Total specimens tested,7/10/2014,River Gee County,0.0
Newly reported deaths,7/10/2014,River Gee County,0.0
Total death/s in confirmed cases,7/10/2014,River Gee County,0.0
Total death/s in probable cases,7/10/2014,River Gee County,0.0
Total death/s in suspected cases,7/10/2014,River Gee County,0.0
"Total death/s in confirmed, probable, suspected cases",7/10/2014,River Gee County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/10/2014,River Gee County,
Newly reported contacts,7/10/2014,River Gee County,0.0
Total contacts listed,7/10/2014,River Gee County,0.0
Currently under follow-up,7/10/2014,River Gee County,0.0
Contacts seen,7/10/2014,River Gee County,0.0
Contacts who completed 21 day follow-up,7/10/2014,River Gee County,0.0
Contacts lost to follow-up,7/10/2014,River Gee County,0.0
New admissions,7/10/2014,River Gee County,0.0
Total no. currently in Treatment Units,7/10/2014,River Gee County,0.0
Total discharges,7/10/2014,River Gee County,0.0
Cumulative admission/isolation,7/10/2014,River Gee County,0.0
Newly Reported Cases in HCW,7/10/2014,River Gee County,0.0
Cumulative cases among HCW,7/10/2014,River Gee County,0.0
Newly Reported deaths in HCW,7/10/2014,River Gee County,0.0
Cumulative deaths among HCW,7/10/2014,River Gee County,0.0
New Case/s (Suspected),7/10/2014,River Gee County,0.0
New Case/s (Probable),7/10/2014,River Gee County,0.0
New case/s (confirmed),7/10/2014,River Gee County,0.0
Total suspected cases,7/10/2014,River Gee County,0.0
Total probable cases,7/10/2014,River Gee County,0.0
Total confirmed cases,7/10/2014,River Gee County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,River Gee County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,River Gee County,0.0
Specimens collected,7/10/2014,RiverCess County,0.0
Specimens pending for testing,7/10/2014,RiverCess County,0.0
Total specimens tested,7/10/2014,RiverCess County,0.0
Newly reported deaths,7/10/2014,RiverCess County,0.0
Total death/s in confirmed cases,7/10/2014,RiverCess County,0.0
Total death/s in probable cases,7/10/2014,RiverCess County,0.0
Total death/s in suspected cases,7/10/2014,RiverCess County,0.0
"Total death/s in confirmed, probable, suspected cases",7/10/2014,RiverCess County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/10/2014,RiverCess County,
Newly reported contacts,7/10/2014,RiverCess County,0.0
Total contacts listed,7/10/2014,RiverCess County,0.0
Currently under follow-up,7/10/2014,RiverCess County,0.0
Contacts seen,7/10/2014,RiverCess County,0.0
Contacts who completed 21 day follow-up,7/10/2014,RiverCess County,0.0
Contacts lost to follow-up,7/10/2014,RiverCess County,0.0
New admissions,7/10/2014,RiverCess County,0.0
Total no. currently in Treatment Units,7/10/2014,RiverCess County,0.0
Total discharges,7/10/2014,RiverCess County,0.0
Cumulative admission/isolation,7/10/2014,RiverCess County,0.0
Newly Reported Cases in HCW,7/10/2014,RiverCess County,0.0
Cumulative cases among HCW,7/10/2014,RiverCess County,0.0
Newly Reported deaths in HCW,7/10/2014,RiverCess County,0.0
Cumulative deaths among HCW,7/10/2014,RiverCess County,0.0
New Case/s (Suspected),7/10/2014,RiverCess County,0.0
New Case/s (Probable),7/10/2014,RiverCess County,0.0
New case/s (confirmed),7/10/2014,RiverCess County,0.0
Total suspected cases,7/10/2014,RiverCess County,0.0
Total probable cases,7/10/2014,RiverCess County,0.0
Total confirmed cases,7/10/2014,RiverCess County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,RiverCess County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,RiverCess County,0.0
Specimens collected,7/10/2014,Sinoe County,0.0
Specimens pending for testing,7/10/2014,Sinoe County,0.0
Total specimens tested,7/10/2014,Sinoe County,0.0
Newly reported deaths,7/10/2014,Sinoe County,0.0
Total death/s in confirmed cases,7/10/2014,Sinoe County,0.0
Total death/s in probable cases,7/10/2014,Sinoe County,0.0
Total death/s in suspected cases,7/10/2014,Sinoe County,0.0
"Total death/s in confirmed, probable, suspected cases",7/10/2014,Sinoe County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/10/2014,Sinoe County,
Newly reported contacts,7/10/2014,Sinoe County,0.0
Total contacts listed,7/10/2014,Sinoe County,0.0
Currently under follow-up,7/10/2014,Sinoe County,0.0
Contacts seen,7/10/2014,Sinoe County,0.0
Contacts who completed 21 day follow-up,7/10/2014,Sinoe County,0.0
Contacts lost to follow-up,7/10/2014,Sinoe County,0.0
New admissions,7/10/2014,Sinoe County,0.0
Total no. currently in Treatment Units,7/10/2014,Sinoe County,0.0
Total discharges,7/10/2014,Sinoe County,0.0
Cumulative admission/isolation,7/10/2014,Sinoe County,0.0
Newly Reported Cases in HCW,7/10/2014,Sinoe County,0.0
Cumulative cases among HCW,7/10/2014,Sinoe County,0.0
Newly Reported deaths in HCW,7/10/2014,Sinoe County,0.0
Cumulative deaths among HCW,7/10/2014,Sinoe County,0.0
New Case/s (Suspected),7/10/2014,Sinoe County,0.0
New Case/s (Probable),7/10/2014,Sinoe County,0.0
New case/s (confirmed),7/10/2014,Sinoe County,0.0
Total suspected cases,7/10/2014,Sinoe County,0.0
Total probable cases,7/10/2014,Sinoe County,0.0
Total confirmed cases,7/10/2014,Sinoe County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,Sinoe County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,Sinoe County,0.0
Specimens collected,7/10/2014,Unnamed: 3,
Specimens pending for testing,7/10/2014,Unnamed: 3,
Total specimens tested,7/10/2014,Unnamed: 3,
Newly reported deaths,7/10/2014,Unnamed: 3,
Total death/s in confirmed cases,7/10/2014,Unnamed: 3,
Total death/s in probable cases,7/10/2014,Unnamed: 3,
Total death/s in suspected cases,7/10/2014,Unnamed: 3,
"Total death/s in confirmed, probable, suspected cases",7/10/2014,Unnamed: 3,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/10/2014,Unnamed: 3,
Newly reported contacts,7/10/2014,Unnamed: 3,
Total contacts listed,7/10/2014,Unnamed: 3,
Currently under follow-up,7/10/2014,Unnamed: 3,
Contacts seen,7/10/2014,Unnamed: 3,
Contacts who completed 21 day follow-up,7/10/2014,Unnamed: 3,
Contacts lost to follow-up,7/10/2014,Unnamed: 3,
New admissions,7/10/2014,Unnamed: 3,
Total no. currently in Treatment Units,7/10/2014,Unnamed: 3,
Total discharges,7/10/2014,Unnamed: 3,
Cumulative admission/isolation,7/10/2014,Unnamed: 3,
Newly Reported Cases in HCW,7/10/2014,Unnamed: 3,
Cumulative cases among HCW,7/10/2014,Unnamed: 3,
Newly Reported deaths in HCW,7/10/2014,Unnamed: 3,
Cumulative deaths among HCW,7/10/2014,Unnamed: 3,
New Case/s (Suspected),7/10/2014,Unnamed: 3,
New Case/s (Probable),7/10/2014,Unnamed: 3,
New case/s (confirmed),7/10/2014,Unnamed: 3,
Total suspected cases,7/10/2014,Unnamed: 3,
Total probable cases,7/10/2014,Unnamed: 3,
Total confirmed cases,7/10/2014,Unnamed: 3,
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,Unnamed: 3,
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,Unnamed: 3,
Specimens collected,7/13/2014,Bomi County,
Specimens pending for testing,7/13/2014,Bomi County,
Total specimens tested,7/13/2014,Bomi County,
Newly reported deaths,7/13/2014,Bomi County,0.0
Total death/s in confirmed cases,7/13/2014,Bomi County,1.0
Total death/s in probable cases,7/13/2014,Bomi County,0.0
Total death/s in suspected cases,7/13/2014,Bomi County,0.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Bomi County,1.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Bomi County,
Newly reported contacts,7/13/2014,Bomi County,0.0
Total contacts listed,7/13/2014,Bomi County,0.0
Currently under follow-up,7/13/2014,Bomi County,0.0
Contacts seen,7/13/2014,Bomi County,0.0
Contacts who completed 21 day follow-up,7/13/2014,Bomi County,0.0
Contacts lost to follow-up,7/13/2014,Bomi County,0.0
New admissions,7/13/2014,Bomi County,0.0
Total no. currently in Treatment Units,7/13/2014,Bomi County,0.0
Total discharges,7/13/2014,Bomi County,0.0
Cumulative admission/isolation,7/13/2014,Bomi County,0.0
Newly Reported Cases in HCW,7/13/2014,Bomi County,0.0
Cumulative cases among HCW,7/13/2014,Bomi County,0.0
Newly Reported deaths in HCW,7/13/2014,Bomi County,0.0
Cumulative deaths among HCW,7/13/2014,Bomi County,0.0
New Case/s (Suspected),7/13/2014,Bomi County,0.0
New Case/s (Probable),7/13/2014,Bomi County,0.0
New case/s (confirmed),7/13/2014,Bomi County,0.0
Total suspected cases,7/13/2014,Bomi County,0.0
Total probable cases,7/13/2014,Bomi County,0.0
Total confirmed cases,7/13/2014,Bomi County,1.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Bomi County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Bomi County,0.0
Specimens collected,7/13/2014,Bong County,
Specimens pending for testing,7/13/2014,Bong County,
Total specimens tested,7/13/2014,Bong County,
Newly reported deaths,7/13/2014,Bong County,0.0
Total death/s in confirmed cases,7/13/2014,Bong County,0.0
Total death/s in probable cases,7/13/2014,Bong County,0.0
Total death/s in suspected cases,7/13/2014,Bong County,0.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Bong County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Bong County,0.0
Newly reported contacts,7/13/2014,Bong County,0.0
Total contacts listed,7/13/2014,Bong County,0.0
Currently under follow-up,7/13/2014,Bong County,0.0
Contacts seen,7/13/2014,Bong County,0.0
Contacts who completed 21 day follow-up,7/13/2014,Bong County,0.0
Contacts lost to follow-up,7/13/2014,Bong County,0.0
New admissions,7/13/2014,Bong County,0.0
Total no. currently in Treatment Units,7/13/2014,Bong County,0.0
Total discharges,7/13/2014,Bong County,0.0
Cumulative admission/isolation,7/13/2014,Bong County,0.0
Newly Reported Cases in HCW,7/13/2014,Bong County,0.0
Cumulative cases among HCW,7/13/2014,Bong County,0.0
Newly Reported deaths in HCW,7/13/2014,Bong County,0.0
Cumulative deaths among HCW,7/13/2014,Bong County,0.0
New Case/s (Suspected),7/13/2014,Bong County,0.0
New Case/s (Probable),7/13/2014,Bong County,0.0
New case/s (confirmed),7/13/2014,Bong County,0.0
Total suspected cases,7/13/2014,Bong County,0.0
Total probable cases,7/13/2014,Bong County,0.0
Total confirmed cases,7/13/2014,Bong County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Bong County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Bong County,0.0
Specimens collected,7/13/2014,Gbarpolu County,
Specimens pending for testing,7/13/2014,Gbarpolu County,
Total specimens tested,7/13/2014,Gbarpolu County,
Newly reported deaths,7/13/2014,Gbarpolu County,
Total death/s in confirmed cases,7/13/2014,Gbarpolu County,
Total death/s in probable cases,7/13/2014,Gbarpolu County,
Total death/s in suspected cases,7/13/2014,Gbarpolu County,
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Gbarpolu County,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Gbarpolu County,
Newly reported contacts,7/13/2014,Gbarpolu County,
Total contacts listed,7/13/2014,Gbarpolu County,
Currently under follow-up,7/13/2014,Gbarpolu County,
Contacts seen,7/13/2014,Gbarpolu County,
Contacts who completed 21 day follow-up,7/13/2014,Gbarpolu County,
Contacts lost to follow-up,7/13/2014,Gbarpolu County,
New admissions,7/13/2014,Gbarpolu County,
Total no. currently in Treatment Units,7/13/2014,Gbarpolu County,
Total discharges,7/13/2014,Gbarpolu County,
Cumulative admission/isolation,7/13/2014,Gbarpolu County,
Newly Reported Cases in HCW,7/13/2014,Gbarpolu County,
Cumulative cases among HCW,7/13/2014,Gbarpolu County,
Newly Reported deaths in HCW,7/13/2014,Gbarpolu County,
Cumulative deaths among HCW,7/13/2014,Gbarpolu County,
New Case/s (Suspected),7/13/2014,Gbarpolu County,
New Case/s (Probable),7/13/2014,Gbarpolu County,
New case/s (confirmed),7/13/2014,Gbarpolu County,
Total suspected cases,7/13/2014,Gbarpolu County,
Total probable cases,7/13/2014,Gbarpolu County,
Total confirmed cases,7/13/2014,Gbarpolu County,
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Gbarpolu County,
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Gbarpolu County,
Specimens collected,7/13/2014,Grand Bassa,
Specimens pending for testing,7/13/2014,Grand Bassa,
Total specimens tested,7/13/2014,Grand Bassa,
Newly reported deaths,7/13/2014,Grand Bassa,
Total death/s in confirmed cases,7/13/2014,Grand Bassa,
Total death/s in probable cases,7/13/2014,Grand Bassa,
Total death/s in suspected cases,7/13/2014,Grand Bassa,
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Grand Bassa,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Grand Bassa,
Newly reported contacts,7/13/2014,Grand Bassa,
Total contacts listed,7/13/2014,Grand Bassa,
Currently under follow-up,7/13/2014,Grand Bassa,
Contacts seen,7/13/2014,Grand Bassa,
Contacts who completed 21 day follow-up,7/13/2014,Grand Bassa,
Contacts lost to follow-up,7/13/2014,Grand Bassa,
New admissions,7/13/2014,Grand Bassa,
Total no. currently in Treatment Units,7/13/2014,Grand Bassa,
Total discharges,7/13/2014,Grand Bassa,
Cumulative admission/isolation,7/13/2014,Grand Bassa,
Newly Reported Cases in HCW,7/13/2014,Grand Bassa,
Cumulative cases among HCW,7/13/2014,Grand Bassa,
Newly Reported deaths in HCW,7/13/2014,Grand Bassa,
Cumulative deaths among HCW,7/13/2014,Grand Bassa,
New Case/s (Suspected),7/13/2014,Grand Bassa,
New Case/s (Probable),7/13/2014,Grand Bassa,
New case/s (confirmed),7/13/2014,Grand Bassa,
Total suspected cases,7/13/2014,Grand Bassa,
Total probable cases,7/13/2014,Grand Bassa,
Total confirmed cases,7/13/2014,Grand Bassa,
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Grand Bassa,
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Grand Bassa,
Specimens collected,7/13/2014,Grand Cape Mount,
Specimens pending for testing,7/13/2014,Grand Cape Mount,
Total specimens tested,7/13/2014,Grand Cape Mount,
Newly reported deaths,7/13/2014,Grand Cape Mount,
Total death/s in confirmed cases,7/13/2014,Grand Cape Mount,
Total death/s in probable cases,7/13/2014,Grand Cape Mount,
Total death/s in suspected cases,7/13/2014,Grand Cape Mount,
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Grand Cape Mount,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Grand Cape Mount,
Newly reported contacts,7/13/2014,Grand Cape Mount,
Total contacts listed,7/13/2014,Grand Cape Mount,
Currently under follow-up,7/13/2014,Grand Cape Mount,
Contacts seen,7/13/2014,Grand Cape Mount,
Contacts who completed 21 day follow-up,7/13/2014,Grand Cape Mount,
Contacts lost to follow-up,7/13/2014,Grand Cape Mount,
New admissions,7/13/2014,Grand Cape Mount,
Total no. currently in Treatment Units,7/13/2014,Grand Cape Mount,
Total discharges,7/13/2014,Grand Cape Mount,
Cumulative admission/isolation,7/13/2014,Grand Cape Mount,
Newly Reported Cases in HCW,7/13/2014,Grand Cape Mount,
Cumulative cases among HCW,7/13/2014,Grand Cape Mount,
Newly Reported deaths in HCW,7/13/2014,Grand Cape Mount,
Cumulative deaths among HCW,7/13/2014,Grand Cape Mount,
New Case/s (Suspected),7/13/2014,Grand Cape Mount,
New Case/s (Probable),7/13/2014,Grand Cape Mount,
New case/s (confirmed),7/13/2014,Grand Cape Mount,
Total suspected cases,7/13/2014,Grand Cape Mount,
Total probable cases,7/13/2014,Grand Cape Mount,
Total confirmed cases,7/13/2014,Grand Cape Mount,
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Grand Cape Mount,
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Grand Cape Mount,
Specimens collected,7/13/2014,Grand Gedeh,
Specimens pending for testing,7/13/2014,Grand Gedeh,
Total specimens tested,7/13/2014,Grand Gedeh,
Newly reported deaths,7/13/2014,Grand Gedeh,
Total death/s in confirmed cases,7/13/2014,Grand Gedeh,
Total death/s in probable cases,7/13/2014,Grand Gedeh,
Total death/s in suspected cases,7/13/2014,Grand Gedeh,
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Grand Gedeh,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Grand Gedeh,
Newly reported contacts,7/13/2014,Grand Gedeh,
Total contacts listed,7/13/2014,Grand Gedeh,
Currently under follow-up,7/13/2014,Grand Gedeh,
Contacts seen,7/13/2014,Grand Gedeh,
Contacts who completed 21 day follow-up,7/13/2014,Grand Gedeh,
Contacts lost to follow-up,7/13/2014,Grand Gedeh,
New admissions,7/13/2014,Grand Gedeh,
Total no. currently in Treatment Units,7/13/2014,Grand Gedeh,
Total discharges,7/13/2014,Grand Gedeh,
Cumulative admission/isolation,7/13/2014,Grand Gedeh,
Newly Reported Cases in HCW,7/13/2014,Grand Gedeh,
Cumulative cases among HCW,7/13/2014,Grand Gedeh,
Newly Reported deaths in HCW,7/13/2014,Grand Gedeh,
Cumulative deaths among HCW,7/13/2014,Grand Gedeh,
New Case/s (Suspected),7/13/2014,Grand Gedeh,
New Case/s (Probable),7/13/2014,Grand Gedeh,
New case/s (confirmed),7/13/2014,Grand Gedeh,
Total suspected cases,7/13/2014,Grand Gedeh,
Total probable cases,7/13/2014,Grand Gedeh,
Total confirmed cases,7/13/2014,Grand Gedeh,
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Grand Gedeh,
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Grand Gedeh,
Specimens collected,7/13/2014,Grand Kru,
Specimens pending for testing,7/13/2014,Grand Kru,
Total specimens tested,7/13/2014,Grand Kru,
Newly reported deaths,7/13/2014,Grand Kru,0.0
Total death/s in confirmed cases,7/13/2014,Grand Kru,0.0
Total death/s in probable cases,7/13/2014,Grand Kru,0.0
Total death/s in suspected cases,7/13/2014,Grand Kru,0.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Grand Kru,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Grand Kru,0.0
Newly reported contacts,7/13/2014,Grand Kru,0.0
Total contacts listed,7/13/2014,Grand Kru,0.0
Currently under follow-up,7/13/2014,Grand Kru,0.0
Contacts seen,7/13/2014,Grand Kru,0.0
Contacts who completed 21 day follow-up,7/13/2014,Grand Kru,0.0
Contacts lost to follow-up,7/13/2014,Grand Kru,0.0
New admissions,7/13/2014,Grand Kru,0.0
Total no. currently in Treatment Units,7/13/2014,Grand Kru,0.0
Total discharges,7/13/2014,Grand Kru,0.0
Cumulative admission/isolation,7/13/2014,Grand Kru,0.0
Newly Reported Cases in HCW,7/13/2014,Grand Kru,0.0
Cumulative cases among HCW,7/13/2014,Grand Kru,0.0
Newly Reported deaths in HCW,7/13/2014,Grand Kru,0.0
Cumulative deaths among HCW,7/13/2014,Grand Kru,0.0
New Case/s (Suspected),7/13/2014,Grand Kru,0.0
New Case/s (Probable),7/13/2014,Grand Kru,0.0
New case/s (confirmed),7/13/2014,Grand Kru,0.0
Total suspected cases,7/13/2014,Grand Kru,0.0
Total probable cases,7/13/2014,Grand Kru,0.0
Total confirmed cases,7/13/2014,Grand Kru,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Grand Kru,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Grand Kru,0.0
Specimens collected,7/13/2014,Lofa County,
Specimens pending for testing,7/13/2014,Lofa County,
Total specimens tested,7/13/2014,Lofa County,
Newly reported deaths,7/13/2014,Lofa County,0.0
Total death/s in confirmed cases,7/13/2014,Lofa County,23.0
Total death/s in probable cases,7/13/2014,Lofa County,14.0
Total death/s in suspected cases,7/13/2014,Lofa County,12.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Lofa County,49.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Lofa County,62.7
Newly reported contacts,7/13/2014,Lofa County,0.0
Total contacts listed,7/13/2014,Lofa County,155.0
Currently under follow-up,7/13/2014,Lofa County,143.0
Contacts seen,7/13/2014,Lofa County,150.0
Contacts who completed 21 day follow-up,7/13/2014,Lofa County,12.0
Contacts lost to follow-up,7/13/2014,Lofa County,0.0
New admissions,7/13/2014,Lofa County,3.0
Total no. currently in Treatment Units,7/13/2014,Lofa County,15.0
Total discharges,7/13/2014,Lofa County,0.0
Cumulative admission/isolation,7/13/2014,Lofa County,15.0
Newly Reported Cases in HCW,7/13/2014,Lofa County,0.0
Cumulative cases among HCW,7/13/2014,Lofa County,5.0
Newly Reported deaths in HCW,7/13/2014,Lofa County,0.0
Cumulative deaths among HCW,7/13/2014,Lofa County,4.0
New Case/s (Suspected),7/13/2014,Lofa County,0.0
New Case/s (Probable),7/13/2014,Lofa County,3.0
New case/s (confirmed),7/13/2014,Lofa County,0.0
Total suspected cases,7/13/2014,Lofa County,45.0
Total probable cases,7/13/2014,Lofa County,20.0
Total confirmed cases,7/13/2014,Lofa County,39.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Lofa County,4.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Lofa County,0.0
Specimens collected,7/13/2014,Margibi County,
Specimens pending for testing,7/13/2014,Margibi County,
Total specimens tested,7/13/2014,Margibi County,
Newly reported deaths,7/13/2014,Margibi County,0.0
Total death/s in confirmed cases,7/13/2014,Margibi County,2.0
Total death/s in probable cases,7/13/2014,Margibi County,0.0
Total death/s in suspected cases,7/13/2014,Margibi County,0.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Margibi County,2.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Margibi County,66.7
Newly reported contacts,7/13/2014,Margibi County,0.0
Total contacts listed,7/13/2014,Margibi County,28.0
Currently under follow-up,7/13/2014,Margibi County,5.0
Contacts seen,7/13/2014,Margibi County,5.0
Contacts who completed 21 day follow-up,7/13/2014,Margibi County,0.0
Contacts lost to follow-up,7/13/2014,Margibi County,0.0
New admissions,7/13/2014,Margibi County,0.0
Total no. currently in Treatment Units,7/13/2014,Margibi County,0.0
Total discharges,7/13/2014,Margibi County,0.0
Cumulative admission/isolation,7/13/2014,Margibi County,0.0
Newly Reported Cases in HCW,7/13/2014,Margibi County,0.0
Cumulative cases among HCW,7/13/2014,Margibi County,0.0
Newly Reported deaths in HCW,7/13/2014,Margibi County,0.0
Cumulative deaths among HCW,7/13/2014,Margibi County,0.0
New Case/s (Suspected),7/13/2014,Margibi County,0.0
New Case/s (Probable),7/13/2014,Margibi County,0.0
New case/s (confirmed),7/13/2014,Margibi County,0.0
Total suspected cases,7/13/2014,Margibi County,0.0
Total probable cases,7/13/2014,Margibi County,2.0
Total confirmed cases,7/13/2014,Margibi County,1.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Margibi County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Margibi County,0.0
Specimens collected,7/13/2014,Maryland County,
Specimens pending for testing,7/13/2014,Maryland County,
Total specimens tested,7/13/2014,Maryland County,
Newly reported deaths,7/13/2014,Maryland County,0.0
Total death/s in confirmed cases,7/13/2014,Maryland County,0.0
Total death/s in probable cases,7/13/2014,Maryland County,0.0
Total death/s in suspected cases,7/13/2014,Maryland County,0.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Maryland County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Maryland County,0.0
Newly reported contacts,7/13/2014,Maryland County,0.0
Total contacts listed,7/13/2014,Maryland County,0.0
Currently under follow-up,7/13/2014,Maryland County,0.0
Contacts seen,7/13/2014,Maryland County,0.0
Contacts who completed 21 day follow-up,7/13/2014,Maryland County,0.0
Contacts lost to follow-up,7/13/2014,Maryland County,0.0
New admissions,7/13/2014,Maryland County,0.0
Total no. currently in Treatment Units,7/13/2014,Maryland County,0.0
Total discharges,7/13/2014,Maryland County,0.0
Cumulative admission/isolation,7/13/2014,Maryland County,0.0
Newly Reported Cases in HCW,7/13/2014,Maryland County,0.0
Cumulative cases among HCW,7/13/2014,Maryland County,0.0
Newly Reported deaths in HCW,7/13/2014,Maryland County,0.0
Cumulative deaths among HCW,7/13/2014,Maryland County,0.0
New Case/s (Suspected),7/13/2014,Maryland County,0.0
New Case/s (Probable),7/13/2014,Maryland County,0.0
New case/s (confirmed),7/13/2014,Maryland County,0.0
Total suspected cases,7/13/2014,Maryland County,0.0
Total probable cases,7/13/2014,Maryland County,0.0
Total confirmed cases,7/13/2014,Maryland County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,Maryland County,0.0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,Maryland County,0.0
Specimens collected,7/13/2014,Montserrado County,
Specimens pending for testing,7/13/2014,Montserrado County,
Total specimens tested,7/13/2014,Montserrado County,
Newly reported deaths,7/13/2014,Montserrado County,3.0
Total death/s in confirmed cases,7/13/2014,Montserrado County,16.0
Total death/s in probable cases,7/13/2014,Montserrado County,17.0
Total death/s in suspected cases,7/13/2014,Montserrado County,9.0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,Montserrado County,42.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,Montserrado County,82.5
Newly reported contacts,7/13/2014,Montserrado County,0.0
Total contacts listed,7/13/2014,Montserrado County,215.0
Currently under follow-up,7/13/2014,Montserrado County,215.0
Contacts seen,7/13/2014,Montserrado County,209.0
Contacts who completed 21 day follow-up,7/13/2014,Montserrado County,0.0
Contacts lost to follow-up,7/13/2014,Montserrado County,0.0
New admissions,7/13/2014,Montserrado County,1.0
Total no. currently in Treatment Units,7/13/2014,Montserrado County,5.0
Total discharges,7/13/2014,Montserrado County,2.0
Cumulative admission/isolation,7/13/2014,Montserrado County,5.0
Newly Reported Cases in HCW,7/13/2014,Montserrado County,0.0
Cumulative cases among HCW,7/13/2014,Montserrado County,6.0
Newly Reported deaths in HCW,7/13/2014,Montserrado County,0.0
Cumulative deaths among HCW,7/13/2014,Montserrado County,5.0
New Case/s (Suspected),7/13/2014,Montserrado County,0.0
New Case/s (Probable),7/13/2014,Montserrado County,2.0
