Description,Date,Location,Value
New deaths registered,2014-08-31,Telimele,
Total deaths of suspects,2014-08-31,Telimele,0
Total deaths of probables,2014-08-31,Telimele,3
Total deaths of confirmed,2014-08-31,Telimele,7
Total deaths (confirmed + probables + suspects),2014-08-31,Telimele,10
Fatality rate for confirmed and probables,2014-08-31,Telimele,38%
New cases of confirmed among health workers,2014-08-31,Telimele,0
Total case of confirmed among health workers,2014-08-31,Telimele,2
New deaths registered among health workers,2014-08-31,Telimele,0
Total deaths registered among health workers,2014-08-31,Telimele,1
New admits to CTE so far,2014-08-31,Telimele,0
Total number of hospitalized cases in CTE,2014-08-31,Telimele,0
Total number of exits from CTE,2014-08-31,Telimele,0
Total number of admissions to CTE,2014-08-31,Telimele,41
New contacts registered so far,2014-08-31,Telimele,0
Total contacts registered from start date,2014-08-31,Telimele,259
Number of contacts to follow today,2014-08-31,Telimele,0
Number of contacts followed today,2014-08-31,Telimele,0
Number of contacts out of the track 21 days,2014-08-31,Telimele,259
Number of contacts lost to follow up,2014-08-31,Telimele,0
Number of samples collected today,2014-08-31,Telimele,
Number of samples under test,2014-08-31,Telimele,
Total samples tested,2014-08-31,Telimele,
New cases of suspects,2014-08-31,Totals,9
New cases of probables,2014-08-31,Totals,8
New cases of confirmed,2014-08-31,Totals,29
Total new cases registered so far,2014-08-31,Totals,46
Total cases of suspects,2014-08-31,Totals,36
Total cases of probables,2014-08-31,Totals,150
Total cases of confirmed,2014-08-31,Totals,563
Cumulative (confirmed + probable + suspects),2014-08-31,Totals,749
Total suspected non-class cases,2014-08-31,Totals,642
New deaths registered,2014-08-31,Totals,3
Total deaths of suspects,2014-08-31,Totals,2
Total deaths of probables,2014-08-31,Totals,150
Total deaths of confirmed,2014-08-31,Totals,337
Total deaths (confirmed + probables + suspects),2014-08-31,Totals,489
Fatality rate for confirmed and probables,2014-08-31,Totals,65%
New cases of confirmed among health workers,2014-08-31,Totals,0
Total case of confirmed among health workers,2014-08-31,Totals,50
New deaths registered among health workers,2014-08-31,Totals,0
Total deaths registered among health workers,2014-08-31,Totals,26
New admits to CTE so far,2014-08-31,Totals,26
Total number of hospitalized cases in CTE,2014-08-31,Totals,99
Total number of exits from CTE,2014-08-31,Totals,10
Total number of admissions to CTE,2014-08-31,Totals,1113
New contacts registered so far,2014-08-31,Totals,0
Total contacts registered from start date,2014-08-31,Totals,7734
Number of contacts to follow today,2014-08-31,Totals,1251
Number of contacts followed today,2014-08-31,Totals,1173
Number of contacts out of the track 21 days,2014-08-31,Totals,6504
Number of contacts lost to follow up,2014-08-31,Totals,76
Number of samples collected today,2014-08-31,Totals,83
Number of samples under test,2014-08-31,Totals,0
Total samples tested,2014-08-31,Totals,1941
New cases of suspects,2014-08-31,Yomou,
New cases of probables,2014-08-31,Yomou,
New cases of confirmed,2014-08-31,Yomou,
Total new cases registered so far,2014-08-31,Yomou,0
Total cases of suspects,2014-08-31,Yomou,1
Total cases of probables,2014-08-31,Yomou,0
Total cases of confirmed,2014-08-31,Yomou,10
Cumulative (confirmed + probable + suspects),2014-08-31,Yomou,11
Total suspected non-class cases,2014-08-31,Yomou,3
New deaths registered,2014-08-31,Yomou,
Total deaths of suspects,2014-08-31,Yomou,0
Total deaths of probables,2014-08-31,Yomou,0
Total deaths of confirmed,2014-08-31,Yomou,3
Total deaths (confirmed + probables + suspects),2014-08-31,Yomou,3
Fatality rate for confirmed and probables,2014-08-31,Yomou,27%
New cases of confirmed among health workers,2014-08-31,Yomou,0
Total case of confirmed among health workers,2014-08-31,Yomou,1
New deaths registered among health workers,2014-08-31,Yomou,0
Total deaths registered among health workers,2014-08-31,Yomou,1
New admits to CTE so far,2014-08-31,Yomou,0
Total number of hospitalized cases in CTE,2014-08-31,Yomou,0
Total number of exits from CTE,2014-08-31,Yomou,0
Total number of admissions to CTE,2014-08-31,Yomou,0
New contacts registered so far,2014-08-31,Yomou,0
Total contacts registered from start date,2014-08-31,Yomou,42
Number of contacts to follow today,2014-08-31,Yomou,37
Number of contacts followed today,2014-08-31,Yomou,35
Number of contacts out of the track 21 days,2014-08-31,Yomou,0
Number of contacts lost to follow up,2014-08-31,Yomou,2
Number of samples collected today,2014-08-31,Yomou,
Number of samples under test,2014-08-31,Yomou,
Total samples tested,2014-08-31,Yomou,
New cases of suspects,2014-09-07,Beyla,
New cases of probables,2014-09-07,Beyla,
New cases of confirmed,2014-09-07,Beyla,
Total new cases registered so far,2014-09-07,Beyla,
Total cases of suspects,2014-09-07,Beyla,
Total cases of probables,2014-09-07,Beyla,
Total cases of confirmed,2014-09-07,Beyla,
Cumulative (confirmed + probable + suspects),2014-09-07,Beyla,
Total suspected non-class cases,2014-09-07,Beyla,
New deaths registered,2014-09-07,Beyla,
Total deaths of suspects,2014-09-07,Beyla,
Total deaths of probables,2014-09-07,Beyla,
Total deaths of confirmed,2014-09-07,Beyla,
Total deaths (confirmed + probables + suspects),2014-09-07,Beyla,
Fatality rate for confirmed and probables,2014-09-07,Beyla,
New cases of confirmed among health workers,2014-09-07,Beyla,
Total case of confirmed among health workers,2014-09-07,Beyla,
New deaths registered among health workers,2014-09-07,Beyla,
Total deaths registered among health workers,2014-09-07,Beyla,
New admits to CTE so far,2014-09-07,Beyla,
Total number of hospitalized cases in CTE,2014-09-07,Beyla,
Total number of exits from CTE,2014-09-07,Beyla,
Total number of admissions to CTE,2014-09-07,Beyla,
New contacts registered so far,2014-09-07,Beyla,
Total contacts registered from start date,2014-09-07,Beyla,
Number of contacts to follow today,2014-09-07,Beyla,
Number of contacts followed today,2014-09-07,Beyla,
Number of contacts out of the track 21 days,2014-09-07,Beyla,
Number of contacts lost to follow up,2014-09-07,Beyla,
Number of samples collected today,2014-09-07,Beyla,
Number of samples under test,2014-09-07,Beyla,
Total samples tested,2014-09-07,Beyla,
New cases of suspects,2014-09-07,Boffa,
New cases of probables,2014-09-07,Boffa,
New cases of confirmed,2014-09-07,Boffa,
Total new cases registered so far,2014-09-07,Boffa,0
Total cases of suspects,2014-09-07,Boffa,0
Total cases of probables,2014-09-07,Boffa,5
Total cases of confirmed,2014-09-07,Boffa,19
Cumulative (confirmed + probable + suspects),2014-09-07,Boffa,24
Total suspected non-class cases,2014-09-07,Boffa,19
New deaths registered,2014-09-07,Boffa,
Total deaths of suspects,2014-09-07,Boffa,0
Total deaths of probables,2014-09-07,Boffa,5
Total deaths of confirmed,2014-09-07,Boffa,11
Total deaths (confirmed + probables + suspects),2014-09-07,Boffa,16
Fatality rate for confirmed and probables,2014-09-07,Boffa,67%
New cases of confirmed among health workers,2014-09-07,Boffa,
Total case of confirmed among health workers,2014-09-07,Boffa,0
New deaths registered among health workers,2014-09-07,Boffa,0
Total deaths registered among health workers,2014-09-07,Boffa,0
New admits to CTE so far,2014-09-07,Boffa,
Total number of hospitalized cases in CTE,2014-09-07,Boffa,0
Total number of exits from CTE,2014-09-07,Boffa,0
Total number of admissions to CTE,2014-09-07,Boffa,0
New contacts registered so far,2014-09-07,Boffa,
Total contacts registered from start date,2014-09-07,Boffa,397
Number of contacts to follow today,2014-09-07,Boffa,0
Number of contacts followed today,2014-09-07,Boffa,0
Number of contacts out of the track 21 days,2014-09-07,Boffa,397
Number of contacts lost to follow up,2014-09-07,Boffa,0
Number of samples collected today,2014-09-07,Boffa,
Number of samples under test,2014-09-07,Boffa,
Total samples tested,2014-09-07,Boffa,
New cases of suspects,2014-09-07,Conakry,
New cases of probables,2014-09-07,Conakry,
New cases of confirmed,2014-09-07,Conakry,
Total new cases registered so far,2014-09-07,Conakry,0
Total cases of suspects,2014-09-07,Conakry,10
Total cases of probables,2014-09-07,Conakry,8
Total cases of confirmed,2014-09-07,Conakry,113
Cumulative (confirmed + probable + suspects),2014-09-07,Conakry,131
Total suspected non-class cases,2014-09-07,Conakry,246
New deaths registered,2014-09-07,Conakry,
Total deaths of suspects,2014-09-07,Conakry,2
Total deaths of probables,2014-09-07,Conakry,8
Total deaths of confirmed,2014-09-07,Conakry,47
Total deaths (confirmed + probables + suspects),2014-09-07,Conakry,57
Fatality rate for confirmed and probables,2014-09-07,Conakry,44%
New cases of confirmed among health workers,2014-09-07,Conakry,2
Total case of confirmed among health workers,2014-09-07,Conakry,28
New deaths registered among health workers,2014-09-07,Conakry,0
Total deaths registered among health workers,2014-09-07,Conakry,13
New admits to CTE so far,2014-09-07,Conakry,1
Total number of hospitalized cases in CTE,2014-09-07,Conakry,22
Total number of exits from CTE,2014-09-07,Conakry,4
Total number of admissions to CTE,2014-09-07,Conakry,396
New contacts registered so far,2014-09-07,Conakry,
Total contacts registered from start date,2014-09-07,Conakry,2297
Number of contacts to follow today,2014-09-07,Conakry,585
Number of contacts followed today,2014-09-07,Conakry,531
Number of contacts out of the track 21 days,2014-09-07,Conakry,1809
Number of contacts lost to follow up,2014-09-07,Conakry,0
Number of samples collected today,2014-09-07,Conakry,5
Number of samples under test,2014-09-07,Conakry,0
Total samples tested,2014-09-07,Conakry,899
New cases of suspects,2014-09-07,Coyah,
New cases of probables,2014-09-07,Coyah,
New cases of confirmed,2014-09-07,Coyah,
Total new cases registered so far,2014-09-07,Coyah,0
Total cases of suspects,2014-09-07,Coyah,1
Total cases of probables,2014-09-07,Coyah,0
Total cases of confirmed,2014-09-07,Coyah,5
Cumulative (confirmed + probable + suspects),2014-09-07,Coyah,6
Total suspected non-class cases,2014-09-07,Coyah,1
New deaths registered,2014-09-07,Coyah,
Total deaths of suspects,2014-09-07,Coyah,0
Total deaths of probables,2014-09-07,Coyah,0
Total deaths of confirmed,2014-09-07,Coyah,2
Total deaths (confirmed + probables + suspects),2014-09-07,Coyah,2
Fatality rate for confirmed and probables,2014-09-07,Coyah,33%
New cases of confirmed among health workers,2014-09-07,Coyah,
Total case of confirmed among health workers,2014-09-07,Coyah,0
New deaths registered among health workers,2014-09-07,Coyah,0
Total deaths registered among health workers,2014-09-07,Coyah,0
New admits to CTE so far,2014-09-07,Coyah,
Total number of hospitalized cases in CTE,2014-09-07,Coyah,0
Total number of exits from CTE,2014-09-07,Coyah,0
Total number of admissions to CTE,2014-09-07,Coyah,0
New contacts registered so far,2014-09-07,Coyah,
Total contacts registered from start date,2014-09-07,Coyah,74
Number of contacts to follow today,2014-09-07,Coyah,74
Number of contacts followed today,2014-09-07,Coyah,74
Number of contacts out of the track 21 days,2014-09-07,Coyah,0
Number of contacts lost to follow up,2014-09-07,Coyah,0
Number of samples collected today,2014-09-07,Coyah,
Number of samples under test,2014-09-07,Coyah,
Total samples tested,2014-09-07,Coyah,
New cases of suspects,2014-09-07,Dabola,
New cases of probables,2014-09-07,Dabola,
New cases of confirmed,2014-09-07,Dabola,
Total new cases registered so far,2014-09-07,Dabola,0
Total cases of suspects,2014-09-07,Dabola,0
Total cases of probables,2014-09-07,Dabola,3
Total cases of confirmed,2014-09-07,Dabola,1
Cumulative (confirmed + probable + suspects),2014-09-07,Dabola,4
Total suspected non-class cases,2014-09-07,Dabola,3
New deaths registered,2014-09-07,Dabola,
Total deaths of suspects,2014-09-07,Dabola,0
Total deaths of probables,2014-09-07,Dabola,3
Total deaths of confirmed,2014-09-07,Dabola,1
Total deaths (confirmed + probables + suspects),2014-09-07,Dabola,4
Fatality rate for confirmed and probables,2014-09-07,Dabola,100%
New cases of confirmed among health workers,2014-09-07,Dabola,
Total case of confirmed among health workers,2014-09-07,Dabola,0
New deaths registered among health workers,2014-09-07,Dabola,0
Total deaths registered among health workers,2014-09-07,Dabola,0
New admits to CTE so far,2014-09-07,Dabola,
Total number of hospitalized cases in CTE,2014-09-07,Dabola,0
Total number of exits from CTE,2014-09-07,Dabola,0
Total number of admissions to CTE,2014-09-07,Dabola,0
New contacts registered so far,2014-09-07,Dabola,
Total contacts registered from start date,2014-09-07,Dabola,69
Number of contacts to follow today,2014-09-07,Dabola,0
Number of contacts followed today,2014-09-07,Dabola,0
Number of contacts out of the track 21 days,2014-09-07,Dabola,69
Number of contacts lost to follow up,2014-09-07,Dabola,0
Number of samples collected today,2014-09-07,Dabola,
Number of samples under test,2014-09-07,Dabola,
Total samples tested,2014-09-07,Dabola,
New cases of suspects,2014-09-07,Dalaba,
New cases of probables,2014-09-07,Dalaba,
New cases of confirmed,2014-09-07,Dalaba,
Total new cases registered so far,2014-09-07,Dalaba,
Total cases of suspects,2014-09-07,Dalaba,
Total cases of probables,2014-09-07,Dalaba,
Total cases of confirmed,2014-09-07,Dalaba,
Cumulative (confirmed + probable + suspects),2014-09-07,Dalaba,
Total suspected non-class cases,2014-09-07,Dalaba,
New deaths registered,2014-09-07,Dalaba,
Total deaths of suspects,2014-09-07,Dalaba,
Total deaths of probables,2014-09-07,Dalaba,
Total deaths of confirmed,2014-09-07,Dalaba,
Total deaths (confirmed + probables + suspects),2014-09-07,Dalaba,
Fatality rate for confirmed and probables,2014-09-07,Dalaba,
New cases of confirmed among health workers,2014-09-07,Dalaba,
Total case of confirmed among health workers,2014-09-07,Dalaba,
New deaths registered among health workers,2014-09-07,Dalaba,
Total deaths registered among health workers,2014-09-07,Dalaba,
New admits to CTE so far,2014-09-07,Dalaba,
Total number of hospitalized cases in CTE,2014-09-07,Dalaba,
Total number of exits from CTE,2014-09-07,Dalaba,
Total number of admissions to CTE,2014-09-07,Dalaba,
New contacts registered so far,2014-09-07,Dalaba,
Total contacts registered from start date,2014-09-07,Dalaba,
Number of contacts to follow today,2014-09-07,Dalaba,
Number of contacts followed today,2014-09-07,Dalaba,
Number of contacts out of the track 21 days,2014-09-07,Dalaba,
Number of contacts lost to follow up,2014-09-07,Dalaba,
Number of samples collected today,2014-09-07,Dalaba,
Number of samples under test,2014-09-07,Dalaba,
Total samples tested,2014-09-07,Dalaba,
New cases of suspects,2014-09-07,Dinguiraye,
New cases of probables,2014-09-07,Dinguiraye,
New cases of confirmed,2014-09-07,Dinguiraye,
Total new cases registered so far,2014-09-07,Dinguiraye,0
Total cases of suspects,2014-09-07,Dinguiraye,0
Total cases of probables,2014-09-07,Dinguiraye,1
Total cases of confirmed,2014-09-07,Dinguiraye,0
Cumulative (confirmed + probable + suspects),2014-09-07,Dinguiraye,1
Total suspected non-class cases,2014-09-07,Dinguiraye,0
New deaths registered,2014-09-07,Dinguiraye,
Total deaths of suspects,2014-09-07,Dinguiraye,0
Total deaths of probables,2014-09-07,Dinguiraye,1
Total deaths of confirmed,2014-09-07,Dinguiraye,0
Total deaths (confirmed + probables + suspects),2014-09-07,Dinguiraye,1
Fatality rate for confirmed and probables,2014-09-07,Dinguiraye,100%
New cases of confirmed among health workers,2014-09-07,Dinguiraye,
Total case of confirmed among health workers,2014-09-07,Dinguiraye,0
New deaths registered among health workers,2014-09-07,Dinguiraye,0
Total deaths registered among health workers,2014-09-07,Dinguiraye,0
New admits to CTE so far,2014-09-07,Dinguiraye,
Total number of hospitalized cases in CTE,2014-09-07,Dinguiraye,0
Total number of exits from CTE,2014-09-07,Dinguiraye,0
Total number of admissions to CTE,2014-09-07,Dinguiraye,0
New contacts registered so far,2014-09-07,Dinguiraye,
Total contacts registered from start date,2014-09-07,Dinguiraye,0
Number of contacts to follow today,2014-09-07,Dinguiraye,0
Number of contacts followed today,2014-09-07,Dinguiraye,0
Number of contacts out of the track 21 days,2014-09-07,Dinguiraye,0
Number of contacts lost to follow up,2014-09-07,Dinguiraye,0
Number of samples collected today,2014-09-07,Dinguiraye,
Number of samples under test,2014-09-07,Dinguiraye,
Total samples tested,2014-09-07,Dinguiraye,
New cases of suspects,2014-09-07,Dubreka,
New cases of probables,2014-09-07,Dubreka,
New cases of confirmed,2014-09-07,Dubreka,
Total new cases registered so far,2014-09-07,Dubreka,0
Total cases of suspects,2014-09-07,Dubreka,0
Total cases of probables,2014-09-07,Dubreka,0
Total cases of confirmed,2014-09-07,Dubreka,21
Cumulative (confirmed + probable + suspects),2014-09-07,Dubreka,21
Total suspected non-class cases,2014-09-07,Dubreka,15
New deaths registered,2014-09-07,Dubreka,
Total deaths of suspects,2014-09-07,Dubreka,0
Total deaths of probables,2014-09-07,Dubreka,0
Total deaths of confirmed,2014-09-07,Dubreka,4
Total deaths (confirmed + probables + suspects),2014-09-07,Dubreka,4
Fatality rate for confirmed and probables,2014-09-07,Dubreka,19%
New cases of confirmed among health workers,2014-09-07,Dubreka,
Total case of confirmed among health workers,2014-09-07,Dubreka,4
New deaths registered among health workers,2014-09-07,Dubreka,0
Total deaths registered among health workers,2014-09-07,Dubreka,0
New admits to CTE so far,2014-09-07,Dubreka,
Total number of hospitalized cases in CTE,2014-09-07,Dubreka,0
Total number of exits from CTE,2014-09-07,Dubreka,0
Total number of admissions to CTE,2014-09-07,Dubreka,0
New contacts registered so far,2014-09-07,Dubreka,
Total contacts registered from start date,2014-09-07,Dubreka,180
Number of contacts to follow today,2014-09-07,Dubreka,180
Number of contacts followed today,2014-09-07,Dubreka,180
Number of contacts out of the track 21 days,2014-09-07,Dubreka,0
Number of contacts lost to follow up,2014-09-07,Dubreka,0
Number of samples collected today,2014-09-07,Dubreka,
Number of samples under test,2014-09-07,Dubreka,
Total samples tested,2014-09-07,Dubreka,
New cases of suspects,2014-09-07,Forecariah,
New cases of probables,2014-09-07,Forecariah,
New cases of confirmed,2014-09-07,Forecariah,
Total new cases registered so far,2014-09-07,Forecariah,0
Total cases of suspects,2014-09-07,Forecariah,0
Total cases of probables,2014-09-07,Forecariah,0
Total cases of confirmed,2014-09-07,Forecariah,6
Cumulative (confirmed + probable + suspects),2014-09-07,Forecariah,6
Total suspected non-class cases,2014-09-07,Forecariah,7
New deaths registered,2014-09-07,Forecariah,
Total deaths of suspects,2014-09-07,Forecariah,0
Total deaths of probables,2014-09-07,Forecariah,0
Total deaths of confirmed,2014-09-07,Forecariah,4
Total deaths (confirmed + probables + suspects),2014-09-07,Forecariah,4
Fatality rate for confirmed and probables,2014-09-07,Forecariah,67%
New cases of confirmed among health workers,2014-09-07,Forecariah,
Total case of confirmed among health workers,2014-09-07,Forecariah,0
New deaths registered among health workers,2014-09-07,Forecariah,0
Total deaths registered among health workers,2014-09-07,Forecariah,0
New admits to CTE so far,2014-09-07,Forecariah,
Total number of hospitalized cases in CTE,2014-09-07,Forecariah,0
Total number of exits from CTE,2014-09-07,Forecariah,0
Total number of admissions to CTE,2014-09-07,Forecariah,0
New contacts registered so far,2014-09-07,Forecariah,
Total contacts registered from start date,2014-09-07,Forecariah,123
Number of contacts to follow today,2014-09-07,Forecariah,123
Number of contacts followed today,2014-09-07,Forecariah,72
Number of contacts out of the track 21 days,2014-09-07,Forecariah,35
Number of contacts lost to follow up,2014-09-07,Forecariah,0
Number of samples collected today,2014-09-07,Forecariah,
Number of samples under test,2014-09-07,Forecariah,
Total samples tested,2014-09-07,Forecariah,
New cases of suspects,2014-09-07,Gueckedou,1
New cases of probables,2014-09-07,Gueckedou,
New cases of confirmed,2014-09-07,Gueckedou,
Total new cases registered so far,2014-09-07,Gueckedou,1
Total cases of suspects,2014-09-07,Gueckedou,3
Total cases of probables,2014-09-07,Gueckedou,110
Total cases of confirmed,2014-09-07,Gueckedou,230
Cumulative (confirmed + probable + suspects),2014-09-07,Gueckedou,343
Total suspected non-class cases,2014-09-07,Gueckedou,250
New deaths registered,2014-09-07,Gueckedou,1
Total deaths of suspects,2014-09-07,Gueckedou,0
Total deaths of probables,2014-09-07,Gueckedou,110
Total deaths of confirmed,2014-09-07,Gueckedou,179
Total deaths (confirmed + probables + suspects),2014-09-07,Gueckedou,289
Fatality rate for confirmed and probables,2014-09-07,Gueckedou,84%
New cases of confirmed among health workers,2014-09-07,Gueckedou,
Total case of confirmed among health workers,2014-09-07,Gueckedou,8
New deaths registered among health workers,2014-09-07,Gueckedou,0
Total deaths registered among health workers,2014-09-07,Gueckedou,6
New admits to CTE so far,2014-09-07,Gueckedou,17
Total number of hospitalized cases in CTE,2014-09-07,Gueckedou,80
Total number of exits from CTE,2014-09-07,Gueckedou,4
Total number of admissions to CTE,2014-09-07,Gueckedou,774
New contacts registered so far,2014-09-07,Gueckedou,
Total contacts registered from start date,2014-09-07,Gueckedou,3643
Number of contacts to follow today,2014-09-07,Gueckedou,318
Number of contacts followed today,2014-09-07,Gueckedou,315
Number of contacts out of the track 21 days,2014-09-07,Gueckedou,3325
Number of contacts lost to follow up,2014-09-07,Gueckedou,0
Number of samples collected today,2014-09-07,Gueckedou,28
Number of samples under test,2014-09-07,Gueckedou,0
Total samples tested,2014-09-07,Gueckedou,1337
New cases of suspects,2014-09-07,Kerouane,
New cases of probables,2014-09-07,Kerouane,
New cases of confirmed,2014-09-07,Kerouane,
Total new cases registered so far,2014-09-07,Kerouane,0
Total cases of suspects,2014-09-07,Kerouane,0
Total cases of probables,2014-09-07,Kerouane,0
Total cases of confirmed,2014-09-07,Kerouane,11
Cumulative (confirmed + probable + suspects),2014-09-07,Kerouane,11
Total suspected non-class cases,2014-09-07,Kerouane,3
New deaths registered,2014-09-07,Kerouane,
Total deaths of suspects,2014-09-07,Kerouane,0
Total deaths of probables,2014-09-07,Kerouane,0
Total deaths of confirmed,2014-09-07,Kerouane,1
Total deaths (confirmed + probables + suspects),2014-09-07,Kerouane,1
Fatality rate for confirmed and probables,2014-09-07,Kerouane,9%
New cases of confirmed among health workers,2014-09-07,Kerouane,
Total case of confirmed among health workers,2014-09-07,Kerouane,0
New deaths registered among health workers,2014-09-07,Kerouane,0
Total deaths registered among health workers,2014-09-07,Kerouane,0
New admits to CTE so far,2014-09-07,Kerouane,
Total number of hospitalized cases in CTE,2014-09-07,Kerouane,0
Total number of exits from CTE,2014-09-07,Kerouane,0
Total number of admissions to CTE,2014-09-07,Kerouane,0
New contacts registered so far,2014-09-07,Kerouane,
Total contacts registered from start date,2014-09-07,Kerouane,0
Number of contacts to follow today,2014-09-07,Kerouane,0
Number of contacts followed today,2014-09-07,Kerouane,0
Number of contacts out of the track 21 days,2014-09-07,Kerouane,0
Number of contacts lost to follow up,2014-09-07,Kerouane,0
Number of samples collected today,2014-09-07,Kerouane,
Number of samples under test,2014-09-07,Kerouane,
Total samples tested,2014-09-07,Kerouane,
New cases of suspects,2014-09-07,Kindia,
New cases of probables,2014-09-07,Kindia,
New cases of confirmed,2014-09-07,Kindia,
Total new cases registered so far,2014-09-07,Kindia,
Total cases of suspects,2014-09-07,Kindia,
Total cases of probables,2014-09-07,Kindia,
Total cases of confirmed,2014-09-07,Kindia,
Cumulative (confirmed + probable + suspects),2014-09-07,Kindia,
Total suspected non-class cases,2014-09-07,Kindia,
New deaths registered,2014-09-07,Kindia,
Total deaths of suspects,2014-09-07,Kindia,
Total deaths of probables,2014-09-07,Kindia,
Total deaths of confirmed,2014-09-07,Kindia,
Total deaths (confirmed + probables + suspects),2014-09-07,Kindia,
Fatality rate for confirmed and probables,2014-09-07,Kindia,
New cases of confirmed among health workers,2014-09-07,Kindia,
Total case of confirmed among health workers,2014-09-07,Kindia,
New deaths registered among health workers,2014-09-07,Kindia,
Total deaths registered among health workers,2014-09-07,Kindia,
New admits to CTE so far,2014-09-07,Kindia,
Total number of hospitalized cases in CTE,2014-09-07,Kindia,
Total number of exits from CTE,2014-09-07,Kindia,
Total number of admissions to CTE,2014-09-07,Kindia,
New contacts registered so far,2014-09-07,Kindia,
Total contacts registered from start date,2014-09-07,Kindia,
Number of contacts to follow today,2014-09-07,Kindia,
Number of contacts followed today,2014-09-07,Kindia,
Number of contacts out of the track 21 days,2014-09-07,Kindia,
Number of contacts lost to follow up,2014-09-07,Kindia,
Number of samples collected today,2014-09-07,Kindia,
Number of samples under test,2014-09-07,Kindia,
Total samples tested,2014-09-07,Kindia,
New cases of suspects,2014-09-07,Kissidougou,
New cases of probables,2014-09-07,Kissidougou,
New cases of confirmed,2014-09-07,Kissidougou,
Total new cases registered so far,2014-09-07,Kissidougou,0
Total cases of suspects,2014-09-07,Kissidougou,0
Total cases of probables,2014-09-07,Kissidougou,5
Total cases of confirmed,2014-09-07,Kissidougou,2
Cumulative (confirmed + probable + suspects),2014-09-07,Kissidougou,7
Total suspected non-class cases,2014-09-07,Kissidougou,7
New deaths registered,2014-09-07,Kissidougou,
Total deaths of suspects,2014-09-07,Kissidougou,0
Total deaths of probables,2014-09-07,Kissidougou,5
Total deaths of confirmed,2014-09-07,Kissidougou,1
Total deaths (confirmed + probables + suspects),2014-09-07,Kissidougou,6
Fatality rate for confirmed and probables,2014-09-07,Kissidougou,86%
New cases of confirmed among health workers,2014-09-07,Kissidougou,
Total case of confirmed among health workers,2014-09-07,Kissidougou,0
New deaths registered among health workers,2014-09-07,Kissidougou,0
Total deaths registered among health workers,2014-09-07,Kissidougou,0
New admits to CTE so far,2014-09-07,Kissidougou,
Total number of hospitalized cases in CTE,2014-09-07,Kissidougou,0
Total number of exits from CTE,2014-09-07,Kissidougou,0
Total number of admissions to CTE,2014-09-07,Kissidougou,0
New contacts registered so far,2014-09-07,Kissidougou,
Total contacts registered from start date,2014-09-07,Kissidougou,159
Number of contacts to follow today,2014-09-07,Kissidougou,0
Number of contacts followed today,2014-09-07,Kissidougou,0
Number of contacts out of the track 21 days,2014-09-07,Kissidougou,159
Number of contacts lost to follow up,2014-09-07,Kissidougou,0
Number of samples collected today,2014-09-07,Kissidougou,
Number of samples under test,2014-09-07,Kissidougou,
Total samples tested,2014-09-07,Kissidougou,
New cases of suspects,2014-09-07,Kouroussa,
New cases of probables,2014-09-07,Kouroussa,
New cases of confirmed,2014-09-07,Kouroussa,
Total new cases registered so far,2014-09-07,Kouroussa,0
Total cases of suspects,2014-09-07,Kouroussa,0
Total cases of probables,2014-09-07,Kouroussa,2
Total cases of confirmed,2014-09-07,Kouroussa,2
Cumulative (confirmed + probable + suspects),2014-09-07,Kouroussa,4
Total suspected non-class cases,2014-09-07,Kouroussa,1
New deaths registered,2014-09-07,Kouroussa,
Total deaths of suspects,2014-09-07,Kouroussa,0
Total deaths of probables,2014-09-07,Kouroussa,2
Total deaths of confirmed,2014-09-07,Kouroussa,2
Total deaths (confirmed + probables + suspects),2014-09-07,Kouroussa,4
Fatality rate for confirmed and probables,2014-09-07,Kouroussa,100%
New cases of confirmed among health workers,2014-09-07,Kouroussa,
Total case of confirmed among health workers,2014-09-07,Kouroussa,0
New deaths registered among health workers,2014-09-07,Kouroussa,0
Total deaths registered among health workers,2014-09-07,Kouroussa,0
New admits to CTE so far,2014-09-07,Kouroussa,
Total number of hospitalized cases in CTE,2014-09-07,Kouroussa,0
Total number of exits from CTE,2014-09-07,Kouroussa,0
Total number of admissions to CTE,2014-09-07,Kouroussa,0
New contacts registered so far,2014-09-07,Kouroussa,
Total contacts registered from start date,2014-09-07,Kouroussa,94
Number of contacts to follow today,2014-09-07,Kouroussa,48
Number of contacts followed today,2014-09-07,Kouroussa,48
Number of contacts out of the track 21 days,2014-09-07,Kouroussa,46
Number of contacts lost to follow up,2014-09-07,Kouroussa,0
Number of samples collected today,2014-09-07,Kouroussa,
Number of samples under test,2014-09-07,Kouroussa,
Total samples tested,2014-09-07,Kouroussa,
New cases of suspects,2014-09-07,Lola,
New cases of probables,2014-09-07,Lola,
New cases of confirmed,2014-09-07,Lola,
Total new cases registered so far,2014-09-07,Lola,
Total cases of suspects,2014-09-07,Lola,
Total cases of probables,2014-09-07,Lola,
Total cases of confirmed,2014-09-07,Lola,
Cumulative (confirmed + probable + suspects),2014-09-07,Lola,
Total suspected non-class cases,2014-09-07,Lola,
New deaths registered,2014-09-07,Lola,
Total deaths of suspects,2014-09-07,Lola,
Total deaths of probables,2014-09-07,Lola,
Total deaths of confirmed,2014-09-07,Lola,
Total deaths (confirmed + probables + suspects),2014-09-07,Lola,
Fatality rate for confirmed and probables,2014-09-07,Lola,
New cases of confirmed among health workers,2014-09-07,Lola,
Total case of confirmed among health workers,2014-09-07,Lola,
New deaths registered among health workers,2014-09-07,Lola,
