,Description,Date,Location,Value
805,Total cases of probables,2014-09-07,Dabola,3
806,Total cases of confirmed,2014-09-07,Dabola,1
807,Cumulative (confirmed + probable + suspects),2014-09-07,Dabola,4
808,Total suspected non-class cases,2014-09-07,Dabola,3
809,New deaths registered,2014-09-07,Dabola,
810,Total deaths of suspects,2014-09-07,Dabola,0
811,Total deaths of probables,2014-09-07,Dabola,3
812,Total deaths of confirmed,2014-09-07,Dabola,1
813,Total deaths (confirmed + probables + suspects),2014-09-07,Dabola,4
814,Fatality rate for confirmed and probables,2014-09-07,Dabola,100%
815,New cases of confirmed among health workers,2014-09-07,Dabola,
816,Total case of confirmed among health workers,2014-09-07,Dabola,0
817,New deaths registered among health workers,2014-09-07,Dabola,0
818,Total deaths registered among health workers,2014-09-07,Dabola,0
819,New admits to CTE so far,2014-09-07,Dabola,
820,Total number of hospitalized cases in CTE,2014-09-07,Dabola,0
821,Total number of exits from CTE,2014-09-07,Dabola,0
822,Total number of admissions to CTE,2014-09-07,Dabola,0
823,New contacts registered so far,2014-09-07,Dabola,
824,Total contacts registered from start date,2014-09-07,Dabola,69
825,Number of contacts to follow today,2014-09-07,Dabola,0
826,Number of contacts followed today,2014-09-07,Dabola,0
827,Number of contacts out of the track 21 days,2014-09-07,Dabola,69
828,Number of contacts lost to follow up,2014-09-07,Dabola,0
829,Number of samples collected today,2014-09-07,Dabola,
830,Number of samples under test,2014-09-07,Dabola,
831,Total samples tested,2014-09-07,Dabola,
992,New cases of suspects,2014-09-07,Dalaba,
993,New cases of probables,2014-09-07,Dalaba,
994,New cases of confirmed,2014-09-07,Dalaba,
995,Total new cases registered so far,2014-09-07,Dalaba,
996,Total cases of suspects,2014-09-07,Dalaba,
997,Total cases of probables,2014-09-07,Dalaba,
998,Total cases of confirmed,2014-09-07,Dalaba,
999,Cumulative (confirmed + probable + suspects),2014-09-07,Dalaba,
1000,Total suspected non-class cases,2014-09-07,Dalaba,
1001,New deaths registered,2014-09-07,Dalaba,
1002,Total deaths of suspects,2014-09-07,Dalaba,
1003,Total deaths of probables,2014-09-07,Dalaba,
1004,Total deaths of confirmed,2014-09-07,Dalaba,
1005,Total deaths (confirmed + probables + suspects),2014-09-07,Dalaba,
1006,Fatality rate for confirmed and probables,2014-09-07,Dalaba,
1007,New cases of confirmed among health workers,2014-09-07,Dalaba,
1008,Total case of confirmed among health workers,2014-09-07,Dalaba,
1009,New deaths registered among health workers,2014-09-07,Dalaba,
1010,Total deaths registered among health workers,2014-09-07,Dalaba,
1011,New admits to CTE so far,2014-09-07,Dalaba,
1012,Total number of hospitalized cases in CTE,2014-09-07,Dalaba,
1013,Total number of exits from CTE,2014-09-07,Dalaba,
1014,Total number of admissions to CTE,2014-09-07,Dalaba,
1015,New contacts registered so far,2014-09-07,Dalaba,
1016,Total contacts registered from start date,2014-09-07,Dalaba,
1017,Number of contacts to follow today,2014-09-07,Dalaba,
1018,Number of contacts followed today,2014-09-07,Dalaba,
1019,Number of contacts out of the track 21 days,2014-09-07,Dalaba,
1020,Number of contacts lost to follow up,2014-09-07,Dalaba,
1021,Number of samples collected today,2014-09-07,Dalaba,
1022,Number of samples under test,2014-09-07,Dalaba,
1023,Total samples tested,2014-09-07,Dalaba,
1184,New cases of suspects,2014-09-07,Dinguiraye,
1185,New cases of probables,2014-09-07,Dinguiraye,
1186,New cases of confirmed,2014-09-07,Dinguiraye,
1187,Total new cases registered so far,2014-09-07,Dinguiraye,0
1188,Total cases of suspects,2014-09-07,Dinguiraye,0
1189,Total cases of probables,2014-09-07,Dinguiraye,1
1190,Total cases of confirmed,2014-09-07,Dinguiraye,0
1191,Cumulative (confirmed + probable + suspects),2014-09-07,Dinguiraye,1
1192,Total suspected non-class cases,2014-09-07,Dinguiraye,0
1193,New deaths registered,2014-09-07,Dinguiraye,
1194,Total deaths of suspects,2014-09-07,Dinguiraye,0
1195,Total deaths of probables,2014-09-07,Dinguiraye,1
1196,Total deaths of confirmed,2014-09-07,Dinguiraye,0
1197,Total deaths (confirmed + probables + suspects),2014-09-07,Dinguiraye,1
1198,Fatality rate for confirmed and probables,2014-09-07,Dinguiraye,100%
1199,New cases of confirmed among health workers,2014-09-07,Dinguiraye,
1200,Total case of confirmed among health workers,2014-09-07,Dinguiraye,0
1201,New deaths registered among health workers,2014-09-07,Dinguiraye,0
1202,Total deaths registered among health workers,2014-09-07,Dinguiraye,0
1203,New admits to CTE so far,2014-09-07,Dinguiraye,
1204,Total number of hospitalized cases in CTE,2014-09-07,Dinguiraye,0
1205,Total number of exits from CTE,2014-09-07,Dinguiraye,0
1206,Total number of admissions to CTE,2014-09-07,Dinguiraye,0
1207,New contacts registered so far,2014-09-07,Dinguiraye,
1208,Total contacts registered from start date,2014-09-07,Dinguiraye,0
1209,Number of contacts to follow today,2014-09-07,Dinguiraye,0
1210,Number of contacts followed today,2014-09-07,Dinguiraye,0
1211,Number of contacts out of the track 21 days,2014-09-07,Dinguiraye,0
1212,Number of contacts lost to follow up,2014-09-07,Dinguiraye,0
1213,Number of samples collected today,2014-09-07,Dinguiraye,
1214,Number of samples under test,2014-09-07,Dinguiraye,
1215,Total samples tested,2014-09-07,Dinguiraye,
1376,New cases of suspects,2014-09-07,Dubreka,
1377,New cases of probables,2014-09-07,Dubreka,
1378,New cases of confirmed,2014-09-07,Dubreka,
1379,Total new cases registered so far,2014-09-07,Dubreka,0
1380,Total cases of suspects,2014-09-07,Dubreka,0
1381,Total cases of probables,2014-09-07,Dubreka,0
1382,Total cases of confirmed,2014-09-07,Dubreka,21
1383,Cumulative (confirmed + probable + suspects),2014-09-07,Dubreka,21
1384,Total suspected non-class cases,2014-09-07,Dubreka,15
1385,New deaths registered,2014-09-07,Dubreka,
1386,Total deaths of suspects,2014-09-07,Dubreka,0
1387,Total deaths of probables,2014-09-07,Dubreka,0
1388,Total deaths of confirmed,2014-09-07,Dubreka,4
1389,Total deaths (confirmed + probables + suspects),2014-09-07,Dubreka,4
1390,Fatality rate for confirmed and probables,2014-09-07,Dubreka,19%
1391,New cases of confirmed among health workers,2014-09-07,Dubreka,
1392,Total case of confirmed among health workers,2014-09-07,Dubreka,4
1393,New deaths registered among health workers,2014-09-07,Dubreka,0
1394,Total deaths registered among health workers,2014-09-07,Dubreka,0
1395,New admits to CTE so far,2014-09-07,Dubreka,
1396,Total number of hospitalized cases in CTE,2014-09-07,Dubreka,0
1397,Total number of exits from CTE,2014-09-07,Dubreka,0
1398,Total number of admissions to CTE,2014-09-07,Dubreka,0
1399,New contacts registered so far,2014-09-07,Dubreka,
1400,Total contacts registered from start date,2014-09-07,Dubreka,180
1401,Number of contacts to follow today,2014-09-07,Dubreka,180
1402,Number of contacts followed today,2014-09-07,Dubreka,180
1403,Number of contacts out of the track 21 days,2014-09-07,Dubreka,0
1404,Number of contacts lost to follow up,2014-09-07,Dubreka,0
1405,Number of samples collected today,2014-09-07,Dubreka,
1406,Number of samples under test,2014-09-07,Dubreka,
1407,Total samples tested,2014-09-07,Dubreka,
1568,New cases of suspects,2014-09-07,Forecariah,
1569,New cases of probables,2014-09-07,Forecariah,
1570,New cases of confirmed,2014-09-07,Forecariah,
1571,Total new cases registered so far,2014-09-07,Forecariah,0
1572,Total cases of suspects,2014-09-07,Forecariah,0
1573,Total cases of probables,2014-09-07,Forecariah,0
1574,Total cases of confirmed,2014-09-07,Forecariah,6
1575,Cumulative (confirmed + probable + suspects),2014-09-07,Forecariah,6
1576,Total suspected non-class cases,2014-09-07,Forecariah,7
1577,New deaths registered,2014-09-07,Forecariah,
1578,Total deaths of suspects,2014-09-07,Forecariah,0
1579,Total deaths of probables,2014-09-07,Forecariah,0
1580,Total deaths of confirmed,2014-09-07,Forecariah,4
1581,Total deaths (confirmed + probables + suspects),2014-09-07,Forecariah,4
1582,Fatality rate for confirmed and probables,2014-09-07,Forecariah,67%
1583,New cases of confirmed among health workers,2014-09-07,Forecariah,
1584,Total case of confirmed among health workers,2014-09-07,Forecariah,0
1585,New deaths registered among health workers,2014-09-07,Forecariah,0
1586,Total deaths registered among health workers,2014-09-07,Forecariah,0
1587,New admits to CTE so far,2014-09-07,Forecariah,
1588,Total number of hospitalized cases in CTE,2014-09-07,Forecariah,0
1589,Total number of exits from CTE,2014-09-07,Forecariah,0
1590,Total number of admissions to CTE,2014-09-07,Forecariah,0
1591,New contacts registered so far,2014-09-07,Forecariah,
1592,Total contacts registered from start date,2014-09-07,Forecariah,123
1593,Number of contacts to follow today,2014-09-07,Forecariah,123
1594,Number of contacts followed today,2014-09-07,Forecariah,72
1595,Number of contacts out of the track 21 days,2014-09-07,Forecariah,35
1596,Number of contacts lost to follow up,2014-09-07,Forecariah,0
1597,Number of samples collected today,2014-09-07,Forecariah,
1598,Number of samples under test,2014-09-07,Forecariah,
1599,Total samples tested,2014-09-07,Forecariah,
1760,New cases of suspects,2014-09-07,Gueckedou,1
1761,New cases of probables,2014-09-07,Gueckedou,
1762,New cases of confirmed,2014-09-07,Gueckedou,
1763,Total new cases registered so far,2014-09-07,Gueckedou,1
1764,Total cases of suspects,2014-09-07,Gueckedou,3
1765,Total cases of probables,2014-09-07,Gueckedou,110
1766,Total cases of confirmed,2014-09-07,Gueckedou,230
1767,Cumulative (confirmed + probable + suspects),2014-09-07,Gueckedou,343
1768,Total suspected non-class cases,2014-09-07,Gueckedou,250
1769,New deaths registered,2014-09-07,Gueckedou,1
1770,Total deaths of suspects,2014-09-07,Gueckedou,0
1771,Total deaths of probables,2014-09-07,Gueckedou,110
1772,Total deaths of confirmed,2014-09-07,Gueckedou,179
1773,Total deaths (confirmed + probables + suspects),2014-09-07,Gueckedou,289
1774,Fatality rate for confirmed and probables,2014-09-07,Gueckedou,84%
1775,New cases of confirmed among health workers,2014-09-07,Gueckedou,
1776,Total case of confirmed among health workers,2014-09-07,Gueckedou,8
1777,New deaths registered among health workers,2014-09-07,Gueckedou,0
1778,Total deaths registered among health workers,2014-09-07,Gueckedou,6
1779,New admits to CTE so far,2014-09-07,Gueckedou,17
1780,Total number of hospitalized cases in CTE,2014-09-07,Gueckedou,80
1781,Total number of exits from CTE,2014-09-07,Gueckedou,4
1782,Total number of admissions to CTE,2014-09-07,Gueckedou,774
1783,New contacts registered so far,2014-09-07,Gueckedou,
1784,Total contacts registered from start date,2014-09-07,Gueckedou,3643
1785,Number of contacts to follow today,2014-09-07,Gueckedou,318
1786,Number of contacts followed today,2014-09-07,Gueckedou,315
1787,Number of contacts out of the track 21 days,2014-09-07,Gueckedou,3325
1788,Number of contacts lost to follow up,2014-09-07,Gueckedou,0
1789,Number of samples collected today,2014-09-07,Gueckedou,28
1790,Number of samples under test,2014-09-07,Gueckedou,0
1791,Total samples tested,2014-09-07,Gueckedou,1337
1952,New cases of suspects,2014-09-07,Kerouane,
1953,New cases of probables,2014-09-07,Kerouane,
1954,New cases of confirmed,2014-09-07,Kerouane,
1955,Total new cases registered so far,2014-09-07,Kerouane,0
1956,Total cases of suspects,2014-09-07,Kerouane,0
1957,Total cases of probables,2014-09-07,Kerouane,0
1958,Total cases of confirmed,2014-09-07,Kerouane,11
1959,Cumulative (confirmed + probable + suspects),2014-09-07,Kerouane,11
1960,Total suspected non-class cases,2014-09-07,Kerouane,3
1961,New deaths registered,2014-09-07,Kerouane,
1962,Total deaths of suspects,2014-09-07,Kerouane,0
1963,Total deaths of probables,2014-09-07,Kerouane,0
1964,Total deaths of confirmed,2014-09-07,Kerouane,1
1965,Total deaths (confirmed + probables + suspects),2014-09-07,Kerouane,1
1966,Fatality rate for confirmed and probables,2014-09-07,Kerouane,9%
1967,New cases of confirmed among health workers,2014-09-07,Kerouane,
1968,Total case of confirmed among health workers,2014-09-07,Kerouane,0
1969,New deaths registered among health workers,2014-09-07,Kerouane,0
1970,Total deaths registered among health workers,2014-09-07,Kerouane,0
1971,New admits to CTE so far,2014-09-07,Kerouane,
1972,Total number of hospitalized cases in CTE,2014-09-07,Kerouane,0
1973,Total number of exits from CTE,2014-09-07,Kerouane,0
1974,Total number of admissions to CTE,2014-09-07,Kerouane,0
1975,New contacts registered so far,2014-09-07,Kerouane,
1976,Total contacts registered from start date,2014-09-07,Kerouane,0
1977,Number of contacts to follow today,2014-09-07,Kerouane,0
1978,Number of contacts followed today,2014-09-07,Kerouane,0
1979,Number of contacts out of the track 21 days,2014-09-07,Kerouane,0
1980,Number of contacts lost to follow up,2014-09-07,Kerouane,0
1981,Number of samples collected today,2014-09-07,Kerouane,
1982,Number of samples under test,2014-09-07,Kerouane,
1983,Total samples tested,2014-09-07,Kerouane,
2144,New cases of suspects,2014-09-07,Kindia,
2145,New cases of probables,2014-09-07,Kindia,
2146,New cases of confirmed,2014-09-07,Kindia,
2147,Total new cases registered so far,2014-09-07,Kindia,
2148,Total cases of suspects,2014-09-07,Kindia,
2149,Total cases of probables,2014-09-07,Kindia,
2150,Total cases of confirmed,2014-09-07,Kindia,
2151,Cumulative (confirmed + probable + suspects),2014-09-07,Kindia,
2152,Total suspected non-class cases,2014-09-07,Kindia,
2153,New deaths registered,2014-09-07,Kindia,
2154,Total deaths of suspects,2014-09-07,Kindia,
2155,Total deaths of probables,2014-09-07,Kindia,
2156,Total deaths of confirmed,2014-09-07,Kindia,
2157,Total deaths (confirmed + probables + suspects),2014-09-07,Kindia,
2158,Fatality rate for confirmed and probables,2014-09-07,Kindia,
2159,New cases of confirmed among health workers,2014-09-07,Kindia,
2160,Total case of confirmed among health workers,2014-09-07,Kindia,
2161,New deaths registered among health workers,2014-09-07,Kindia,
2162,Total deaths registered among health workers,2014-09-07,Kindia,
2163,New admits to CTE so far,2014-09-07,Kindia,
2164,Total number of hospitalized cases in CTE,2014-09-07,Kindia,
2165,Total number of exits from CTE,2014-09-07,Kindia,
2166,Total number of admissions to CTE,2014-09-07,Kindia,
2167,New contacts registered so far,2014-09-07,Kindia,
2168,Total contacts registered from start date,2014-09-07,Kindia,
2169,Number of contacts to follow today,2014-09-07,Kindia,
2170,Number of contacts followed today,2014-09-07,Kindia,
2171,Number of contacts out of the track 21 days,2014-09-07,Kindia,
2172,Number of contacts lost to follow up,2014-09-07,Kindia,
2173,Number of samples collected today,2014-09-07,Kindia,
2174,Number of samples under test,2014-09-07,Kindia,
2175,Total samples tested,2014-09-07,Kindia,
2336,New cases of suspects,2014-09-07,Kissidougou,
2337,New cases of probables,2014-09-07,Kissidougou,
2338,New cases of confirmed,2014-09-07,Kissidougou,
2339,Total new cases registered so far,2014-09-07,Kissidougou,0
2340,Total cases of suspects,2014-09-07,Kissidougou,0
2341,Total cases of probables,2014-09-07,Kissidougou,5
2342,Total cases of confirmed,2014-09-07,Kissidougou,2
2343,Cumulative (confirmed + probable + suspects),2014-09-07,Kissidougou,7
2344,Total suspected non-class cases,2014-09-07,Kissidougou,7
2345,New deaths registered,2014-09-07,Kissidougou,
2346,Total deaths of suspects,2014-09-07,Kissidougou,0
2347,Total deaths of probables,2014-09-07,Kissidougou,5
2348,Total deaths of confirmed,2014-09-07,Kissidougou,1
2349,Total deaths (confirmed + probables + suspects),2014-09-07,Kissidougou,6
2350,Fatality rate for confirmed and probables,2014-09-07,Kissidougou,86%
2351,New cases of confirmed among health workers,2014-09-07,Kissidougou,
2352,Total case of confirmed among health workers,2014-09-07,Kissidougou,0
2353,New deaths registered among health workers,2014-09-07,Kissidougou,0
2354,Total deaths registered among health workers,2014-09-07,Kissidougou,0
2355,New admits to CTE so far,2014-09-07,Kissidougou,
2356,Total number of hospitalized cases in CTE,2014-09-07,Kissidougou,0
2357,Total number of exits from CTE,2014-09-07,Kissidougou,0
2358,Total number of admissions to CTE,2014-09-07,Kissidougou,0
2359,New contacts registered so far,2014-09-07,Kissidougou,
2360,Total contacts registered from start date,2014-09-07,Kissidougou,159
2361,Number of contacts to follow today,2014-09-07,Kissidougou,0
2362,Number of contacts followed today,2014-09-07,Kissidougou,0
2363,Number of contacts out of the track 21 days,2014-09-07,Kissidougou,159
2364,Number of contacts lost to follow up,2014-09-07,Kissidougou,0
2365,Number of samples collected today,2014-09-07,Kissidougou,
2366,Number of samples under test,2014-09-07,Kissidougou,
2367,Total samples tested,2014-09-07,Kissidougou,
2528,New cases of suspects,2014-09-07,Kouroussa,
2529,New cases of probables,2014-09-07,Kouroussa,
2530,New cases of confirmed,2014-09-07,Kouroussa,
2531,Total new cases registered so far,2014-09-07,Kouroussa,0
2532,Total cases of suspects,2014-09-07,Kouroussa,0
2533,Total cases of probables,2014-09-07,Kouroussa,2
2534,Total cases of confirmed,2014-09-07,Kouroussa,2
2535,Cumulative (confirmed + probable + suspects),2014-09-07,Kouroussa,4
2536,Total suspected non-class cases,2014-09-07,Kouroussa,1
2537,New deaths registered,2014-09-07,Kouroussa,
2538,Total deaths of suspects,2014-09-07,Kouroussa,0
2539,Total deaths of probables,2014-09-07,Kouroussa,2
2540,Total deaths of confirmed,2014-09-07,Kouroussa,2
2541,Total deaths (confirmed + probables + suspects),2014-09-07,Kouroussa,4
2542,Fatality rate for confirmed and probables,2014-09-07,Kouroussa,100%
2543,New cases of confirmed among health workers,2014-09-07,Kouroussa,
2544,Total case of confirmed among health workers,2014-09-07,Kouroussa,0
2545,New deaths registered among health workers,2014-09-07,Kouroussa,0
2546,Total deaths registered among health workers,2014-09-07,Kouroussa,0
2547,New admits to CTE so far,2014-09-07,Kouroussa,
2548,Total number of hospitalized cases in CTE,2014-09-07,Kouroussa,0
2549,Total number of exits from CTE,2014-09-07,Kouroussa,0
2550,Total number of admissions to CTE,2014-09-07,Kouroussa,0
2551,New contacts registered so far,2014-09-07,Kouroussa,
2552,Total contacts registered from start date,2014-09-07,Kouroussa,94
2553,Number of contacts to follow today,2014-09-07,Kouroussa,48
2554,Number of contacts followed today,2014-09-07,Kouroussa,48
2555,Number of contacts out of the track 21 days,2014-09-07,Kouroussa,46
2556,Number of contacts lost to follow up,2014-09-07,Kouroussa,0
2557,Number of samples collected today,2014-09-07,Kouroussa,
2558,Number of samples under test,2014-09-07,Kouroussa,
2559,Total samples tested,2014-09-07,Kouroussa,
2720,New cases of suspects,2014-09-07,Lola,
2721,New cases of probables,2014-09-07,Lola,
2722,New cases of confirmed,2014-09-07,Lola,
2723,Total new cases registered so far,2014-09-07,Lola,
2724,Total cases of suspects,2014-09-07,Lola,
2725,Total cases of probables,2014-09-07,Lola,
2726,Total cases of confirmed,2014-09-07,Lola,
2727,Cumulative (confirmed + probable + suspects),2014-09-07,Lola,
2728,Total suspected non-class cases,2014-09-07,Lola,
2729,New deaths registered,2014-09-07,Lola,
2730,Total deaths of suspects,2014-09-07,Lola,
2731,Total deaths of probables,2014-09-07,Lola,
2732,Total deaths of confirmed,2014-09-07,Lola,
2733,Total deaths (confirmed + probables + suspects),2014-09-07,Lola,
2734,Fatality rate for confirmed and probables,2014-09-07,Lola,
2735,New cases of confirmed among health workers,2014-09-07,Lola,
2736,Total case of confirmed among health workers,2014-09-07,Lola,
2737,New deaths registered among health workers,2014-09-07,Lola,
2738,Total deaths registered among health workers,2014-09-07,Lola,
2739,New admits to CTE so far,2014-09-07,Lola,
2740,Total number of hospitalized cases in CTE,2014-09-07,Lola,
2741,Total number of exits from CTE,2014-09-07,Lola,
2742,Total number of admissions to CTE,2014-09-07,Lola,
2743,New contacts registered so far,2014-09-07,Lola,
2744,Total contacts registered from start date,2014-09-07,Lola,
2745,Number of contacts to follow today,2014-09-07,Lola,
2746,Number of contacts followed today,2014-09-07,Lola,
2747,Number of contacts out of the track 21 days,2014-09-07,Lola,
2748,Number of contacts lost to follow up,2014-09-07,Lola,
2749,Number of samples collected today,2014-09-07,Lola,
2750,Number of samples under test,2014-09-07,Lola,
2751,Total samples tested,2014-09-07,Lola,
2912,New cases of suspects,2014-09-07,Macenta,4
2913,New cases of probables,2014-09-07,Macenta,
2914,New cases of confirmed,2014-09-07,Macenta,8
2915,Total new cases registered so far,2014-09-07,Macenta,12
2916,Total cases of suspects,2014-09-07,Macenta,16
2917,Total cases of probables,2014-09-07,Macenta,12
2918,Total cases of confirmed,2014-09-07,Macenta,209
2919,Cumulative (confirmed + probable + suspects),2014-09-07,Macenta,237
2920,Total suspected non-class cases,2014-09-07,Macenta,118
2921,New deaths registered,2014-09-07,Macenta,3
2922,Total deaths of suspects,2014-09-07,Macenta,2
2923,Total deaths of probables,2014-09-07,Macenta,12
2924,Total deaths of confirmed,2014-09-07,Macenta,128
2925,Total deaths (confirmed + probables + suspects),2014-09-07,Macenta,142
2926,Fatality rate for confirmed and probables,2014-09-07,Macenta,60%
2927,New cases of confirmed among health workers,2014-09-07,Macenta,
2928,Total case of confirmed among health workers,2014-09-07,Macenta,8
2929,New deaths registered among health workers,2014-09-07,Macenta,0
2930,Total deaths registered among health workers,2014-09-07,Macenta,6
2931,New admits to CTE so far,2014-09-07,Macenta,32
2932,Total number of hospitalized cases in CTE,2014-09-07,Macenta,0
2933,Total number of exits from CTE,2014-09-07,Macenta,0
2934,Total number of admissions to CTE,2014-09-07,Macenta,32
2935,New contacts registered so far,2014-09-07,Macenta,
2936,Total contacts registered from start date,2014-09-07,Macenta,1078
2937,Number of contacts to follow today,2014-09-07,Macenta,783
2938,Number of contacts followed today,2014-09-07,Macenta,602
2939,Number of contacts out of the track 21 days,2014-09-07,Macenta,357
2940,Number of contacts lost to follow up,2014-09-07,Macenta,0
2941,Number of samples collected today,2014-09-07,Macenta,0
2942,Number of samples under test,2014-09-07,Macenta,0
2943,Total samples tested,2014-09-07,Macenta,0
3104,New cases of suspects,2014-09-07,Nzerekore,
3105,New cases of probables,2014-09-07,Nzerekore,
3106,New cases of confirmed,2014-09-07,Nzerekore,
3107,Total new cases registered so far,2014-09-07,Nzerekore,2
3108,Total cases of suspects,2014-09-07,Nzerekore,0
3109,Total cases of probables,2014-09-07,Nzerekore,1
3110,Total cases of confirmed,2014-09-07,Nzerekore,13
3111,Cumulative (confirmed + probable + suspects),2014-09-07,Nzerekore,14
3112,Total suspected non-class cases,2014-09-07,Nzerekore,7
3113,New deaths registered,2014-09-07,Nzerekore,
3114,Total deaths of suspects,2014-09-07,Nzerekore,0
3115,Total deaths of probables,2014-09-07,Nzerekore,1
3116,Total deaths of confirmed,2014-09-07,Nzerekore,5
3117,Total deaths (confirmed + probables + suspects),2014-09-07,Nzerekore,6
3118,Fatality rate for confirmed and probables,2014-09-07,Nzerekore,43%
3119,New cases of confirmed among health workers,2014-09-07,Nzerekore,
3120,Total case of confirmed among health workers,2014-09-07,Nzerekore,1
3121,New deaths registered among health workers,2014-09-07,Nzerekore,0
3122,Total deaths registered among health workers,2014-09-07,Nzerekore,1
3123,New admits to CTE so far,2014-09-07,Nzerekore,
3124,Total number of hospitalized cases in CTE,2014-09-07,Nzerekore,0
3125,Total number of exits from CTE,2014-09-07,Nzerekore,0
3126,Total number of admissions to CTE,2014-09-07,Nzerekore,0
3127,New contacts registered so far,2014-09-07,Nzerekore,5
3128,Total contacts registered from start date,2014-09-07,Nzerekore,204
3129,Number of contacts to follow today,2014-09-07,Nzerekore,58
3130,Number of contacts followed today,2014-09-07,Nzerekore,58
3131,Number of contacts out of the track 21 days,2014-09-07,Nzerekore,146
3132,Number of contacts lost to follow up,2014-09-07,Nzerekore,0
3133,Number of samples collected today,2014-09-07,Nzerekore,
3134,Number of samples under test,2014-09-07,Nzerekore,
3135,Total samples tested,2014-09-07,Nzerekore,
3296,New cases of suspects,2014-09-07,Pita,
3297,New cases of probables,2014-09-07,Pita,
3298,New cases of confirmed,2014-09-07,Pita,
3299,Total new cases registered so far,2014-09-07,Pita,0
3300,Total cases of suspects,2014-09-07,Pita,1
3301,Total cases of probables,2014-09-07,Pita,1
3302,Total cases of confirmed,2014-09-07,Pita,6
3303,Cumulative (confirmed + probable + suspects),2014-09-07,Pita,8
3304,Total suspected non-class cases,2014-09-07,Pita,12
3305,New deaths registered,2014-09-07,Pita,
3306,Total deaths of suspects,2014-09-07,Pita,0
3307,Total deaths of probables,2014-09-07,Pita,1
3308,Total deaths of confirmed,2014-09-07,Pita,2
3309,Total deaths (confirmed + probables + suspects),2014-09-07,Pita,3
3310,Fatality rate for confirmed and probables,2014-09-07,Pita,38%
3311,New cases of confirmed among health workers,2014-09-07,Pita,
3312,Total case of confirmed among health workers,2014-09-07,Pita,0
3313,New deaths registered among health workers,2014-09-07,Pita,0
3314,Total deaths registered among health workers,2014-09-07,Pita,0
3315,New admits to CTE so far,2014-09-07,Pita,
3316,Total number of hospitalized cases in CTE,2014-09-07,Pita,0
3317,Total number of exits from CTE,2014-09-07,Pita,0
3318,Total number of admissions to CTE,2014-09-07,Pita,0
3319,New contacts registered so far,2014-09-07,Pita,
3320,Total contacts registered from start date,2014-09-07,Pita,140
3321,Number of contacts to follow today,2014-09-07,Pita,32
3322,Number of contacts followed today,2014-09-07,Pita,32
3323,Number of contacts out of the track 21 days,2014-09-07,Pita,108
3324,Number of contacts lost to follow up,2014-09-07,Pita,0
3325,Number of samples collected today,2014-09-07,Pita,
3326,Number of samples under test,2014-09-07,Pita,
3327,Total samples tested,2014-09-07,Pita,
3488,New cases of suspects,2014-09-07,Siguiri,
3489,New cases of probables,2014-09-07,Siguiri,
3490,New cases of confirmed,2014-09-07,Siguiri,
3491,Total new cases registered so far,2014-09-07,Siguiri,0
3492,Total cases of suspects,2014-09-07,Siguiri,0
3493,Total cases of probables,2014-09-07,Siguiri,0
3494,Total cases of confirmed,2014-09-07,Siguiri,6
3495,Cumulative (confirmed + probable + suspects),2014-09-07,Siguiri,6
3496,Total suspected non-class cases,2014-09-07,Siguiri,8
3497,New deaths registered,2014-09-07,Siguiri,
3498,Total deaths of suspects,2014-09-07,Siguiri,0
3499,Total deaths of probables,2014-09-07,Siguiri,0
3500,Total deaths of confirmed,2014-09-07,Siguiri,3
3501,Total deaths (confirmed + probables + suspects),2014-09-07,Siguiri,3
3502,Fatality rate for confirmed and probables,2014-09-07,Siguiri,50%
3503,New cases of confirmed among health workers,2014-09-07,Siguiri,
3504,Total case of confirmed among health workers,2014-09-07,Siguiri,2
3505,New deaths registered among health workers,2014-09-07,Siguiri,0
3506,Total deaths registered among health workers,2014-09-07,Siguiri,0
3507,New admits to CTE so far,2014-09-07,Siguiri,
3508,Total number of hospitalized cases in CTE,2014-09-07,Siguiri,0
3509,Total number of exits from CTE,2014-09-07,Siguiri,0
3510,Total number of admissions to CTE,2014-09-07,Siguiri,13
3511,New contacts registered so far,2014-09-07,Siguiri,
3512,Total contacts registered from start date,2014-09-07,Siguiri,141
3513,Number of contacts to follow today,2014-09-07,Siguiri,0
3514,Number of contacts followed today,2014-09-07,Siguiri,0
3515,Number of contacts out of the track 21 days,2014-09-07,Siguiri,141
3516,Number of contacts lost to follow up,2014-09-07,Siguiri,0
3517,Number of samples collected today,2014-09-07,Siguiri,
3518,Number of samples under test,2014-09-07,Siguiri,
3519,Total samples tested,2014-09-07,Siguiri,
3680,New cases of suspects,2014-09-07,Telimele,
3681,New cases of probables,2014-09-07,Telimele,
3682,New cases of confirmed,2014-09-07,Telimele,
3683,Total new cases registered so far,2014-09-07,Telimele,0
3684,Total cases of suspects,2014-09-07,Telimele,0
3685,Total cases of probables,2014-09-07,Telimele,3
3686,Total cases of confirmed,2014-09-07,Telimele,23
3687,Cumulative (confirmed + probable + suspects),2014-09-07,Telimele,26
3688,Total suspected non-class cases,2014-09-07,Telimele,18
3689,New deaths registered,2014-09-07,Telimele,
3690,Total deaths of suspects,2014-09-07,Telimele,0
3691,Total deaths of probables,2014-09-07,Telimele,3
3692,Total deaths of confirmed,2014-09-07,Telimele,7
3693,Total deaths (confirmed + probables + suspects),2014-09-07,Telimele,10
3694,Fatality rate for confirmed and probables,2014-09-07,Telimele,38%
3695,New cases of confirmed among health workers,2014-09-07,Telimele,
