,Variable,Date,Location,Value
11565,Newly reported contacts,8/2/2014,Grand Kru,
11566,Total contacts listed,8/2/2014,Grand Kru,
11567,Currently under follow-up,8/2/2014,Grand Kru,
11568,Contacts seen,8/2/2014,Grand Kru,
11569,Contacts who completed 21 day follow-up,8/2/2014,Grand Kru,
11570,Contacts lost to follow-up,8/2/2014,Grand Kru,
11571,New admissions,8/2/2014,Grand Kru,
11572,Total no. currently in Treatment Units,8/2/2014,Grand Kru,
11573,Total discharges,8/2/2014,Grand Kru,
11574,Cumulative admission/isolation,8/2/2014,Grand Kru,
11575,Newly Reported Cases in HCW,8/2/2014,Grand Kru,
11576,Cumulative cases among HCW,8/2/2014,Grand Kru,
11577,Newly Reported deaths in HCW,8/2/2014,Grand Kru,
11578,Cumulative deaths among HCW,8/2/2014,Grand Kru,
11579,New Case/s (Suspected),8/2/2014,Grand Kru,
11580,New Case/s (Probable),8/2/2014,Grand Kru,
11581,New case/s (confirmed),8/2/2014,Grand Kru,
11582,Total suspected cases,8/2/2014,Grand Kru,
11583,Total probable cases,8/2/2014,Grand Kru,
11584,Total confirmed cases,8/2/2014,Grand Kru,
11585,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Grand Kru,
11586,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Grand Kru,
13389,Specimens collected,8/2/2014,Lofa County,
13390,Specimens pending for testing,8/2/2014,Lofa County,
13391,Total specimens tested,8/2/2014,Lofa County,11.0
13392,Newly reported deaths,8/2/2014,Lofa County,6.0
13393,Total death/s in confirmed cases,8/2/2014,Lofa County,55.0
13394,Total death/s in probable cases,8/2/2014,Lofa County,37.0
13395,Total death/s in suspected cases,8/2/2014,Lofa County,15.0
13396,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Lofa County,107.0
13397,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Lofa County,
13398,Newly reported contacts,8/2/2014,Lofa County,0.0
13399,Total contacts listed,8/2/2014,Lofa County,228.0
13400,Currently under follow-up,8/2/2014,Lofa County,220.0
13401,Contacts seen,8/2/2014,Lofa County,220.0
13402,Contacts who completed 21 day follow-up,8/2/2014,Lofa County,
13403,Contacts lost to follow-up,8/2/2014,Lofa County,
13404,New admissions,8/2/2014,Lofa County,9.0
13405,Total no. currently in Treatment Units,8/2/2014,Lofa County,28.0
13406,Total discharges,8/2/2014,Lofa County,3.0
13407,Cumulative admission/isolation,8/2/2014,Lofa County,28.0
13408,Newly Reported Cases in HCW,8/2/2014,Lofa County,0.0
13409,Cumulative cases among HCW,8/2/2014,Lofa County,15.0
13410,Newly Reported deaths in HCW,8/2/2014,Lofa County,0.0
13411,Cumulative deaths among HCW,8/2/2014,Lofa County,8.0
13412,New Case/s (Suspected),8/2/2014,Lofa County,
13413,New Case/s (Probable),8/2/2014,Lofa County,4.0
13414,New case/s (confirmed),8/2/2014,Lofa County,
13415,Total suspected cases,8/2/2014,Lofa County,55.0
13416,Total probable cases,8/2/2014,Lofa County,121.0
13417,Total confirmed cases,8/2/2014,Lofa County,63.0
13418,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Lofa County,11.0
13419,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Lofa County,
15222,Specimens collected,8/2/2014,Margibi County,
15223,Specimens pending for testing,8/2/2014,Margibi County,1.0
15224,Total specimens tested,8/2/2014,Margibi County,
15225,Newly reported deaths,8/2/2014,Margibi County,0.0
15226,Total death/s in confirmed cases,8/2/2014,Margibi County,2.0
15227,Total death/s in probable cases,8/2/2014,Margibi County,0.0
15228,Total death/s in suspected cases,8/2/2014,Margibi County,3.0
15229,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Margibi County,5.0
15230,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Margibi County,
15231,Newly reported contacts,8/2/2014,Margibi County,0.0
15232,Total contacts listed,8/2/2014,Margibi County,28.0
15233,Currently under follow-up,8/2/2014,Margibi County,5.0
15234,Contacts seen,8/2/2014,Margibi County,
15235,Contacts who completed 21 day follow-up,8/2/2014,Margibi County,
15236,Contacts lost to follow-up,8/2/2014,Margibi County,
15237,New admissions,8/2/2014,Margibi County,
15238,Total no. currently in Treatment Units,8/2/2014,Margibi County,
15239,Total discharges,8/2/2014,Margibi County,
15240,Cumulative admission/isolation,8/2/2014,Margibi County,
15241,Newly Reported Cases in HCW,8/2/2014,Margibi County,
15242,Cumulative cases among HCW,8/2/2014,Margibi County,
15243,Newly Reported deaths in HCW,8/2/2014,Margibi County,
15244,Cumulative deaths among HCW,8/2/2014,Margibi County,
15245,New Case/s (Suspected),8/2/2014,Margibi County,
15246,New Case/s (Probable),8/2/2014,Margibi County,
15247,New case/s (confirmed),8/2/2014,Margibi County,
15248,Total suspected cases,8/2/2014,Margibi County,5.0
15249,Total probable cases,8/2/2014,Margibi County,2.0
15250,Total confirmed cases,8/2/2014,Margibi County,2.0
15251,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Margibi County,
15252,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Margibi County,
17055,Specimens collected,8/2/2014,Maryland County,
17056,Specimens pending for testing,8/2/2014,Maryland County,
17057,Total specimens tested,8/2/2014,Maryland County,
17058,Newly reported deaths,8/2/2014,Maryland County,
17059,Total death/s in confirmed cases,8/2/2014,Maryland County,
17060,Total death/s in probable cases,8/2/2014,Maryland County,
17061,Total death/s in suspected cases,8/2/2014,Maryland County,
17062,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Maryland County,
17063,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Maryland County,
17064,Newly reported contacts,8/2/2014,Maryland County,
17065,Total contacts listed,8/2/2014,Maryland County,
17066,Currently under follow-up,8/2/2014,Maryland County,
17067,Contacts seen,8/2/2014,Maryland County,
17068,Contacts who completed 21 day follow-up,8/2/2014,Maryland County,
17069,Contacts lost to follow-up,8/2/2014,Maryland County,
17070,New admissions,8/2/2014,Maryland County,
17071,Total no. currently in Treatment Units,8/2/2014,Maryland County,
17072,Total discharges,8/2/2014,Maryland County,
17073,Cumulative admission/isolation,8/2/2014,Maryland County,
17074,Newly Reported Cases in HCW,8/2/2014,Maryland County,
17075,Cumulative cases among HCW,8/2/2014,Maryland County,
17076,Newly Reported deaths in HCW,8/2/2014,Maryland County,
17077,Cumulative deaths among HCW,8/2/2014,Maryland County,
17078,New Case/s (Suspected),8/2/2014,Maryland County,
17079,New Case/s (Probable),8/2/2014,Maryland County,
17080,New case/s (confirmed),8/2/2014,Maryland County,
17081,Total suspected cases,8/2/2014,Maryland County,
17082,Total probable cases,8/2/2014,Maryland County,
17083,Total confirmed cases,8/2/2014,Maryland County,
17084,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Maryland County,
17085,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Maryland County,
18888,Specimens collected,8/2/2014,Montserrado County,7.0
18889,Specimens pending for testing,8/2/2014,Montserrado County,1.0
18890,Total specimens tested,8/2/2014,Montserrado County,7.0
18891,Newly reported deaths,8/2/2014,Montserrado County,6.0
18892,Total death/s in confirmed cases,8/2/2014,Montserrado County,48.0
18893,Total death/s in probable cases,8/2/2014,Montserrado County,48.0
18894,Total death/s in suspected cases,8/2/2014,Montserrado County,21.0
18895,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Montserrado County,117.0
18896,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Montserrado County,
18897,Newly reported contacts,8/2/2014,Montserrado County,0.0
18898,Total contacts listed,8/2/2014,Montserrado County,529.0
18899,Currently under follow-up,8/2/2014,Montserrado County,529.0
18900,Contacts seen,8/2/2014,Montserrado County,435.0
18901,Contacts who completed 21 day follow-up,8/2/2014,Montserrado County,
18902,Contacts lost to follow-up,8/2/2014,Montserrado County,
18903,New admissions,8/2/2014,Montserrado County,2.0
18904,Total no. currently in Treatment Units,8/2/2014,Montserrado County,12.0
18905,Total discharges,8/2/2014,Montserrado County,2.0
18906,Cumulative admission/isolation,8/2/2014,Montserrado County,12.0
18907,Newly Reported Cases in HCW,8/2/2014,Montserrado County,0.0
18908,Cumulative cases among HCW,8/2/2014,Montserrado County,17.0
18909,Newly Reported deaths in HCW,8/2/2014,Montserrado County,0.0
18910,Cumulative deaths among HCW,8/2/2014,Montserrado County,20.0
18911,New Case/s (Suspected),8/2/2014,Montserrado County,2.0
18912,New Case/s (Probable),8/2/2014,Montserrado County,4.0
18913,New case/s (confirmed),8/2/2014,Montserrado County,
18914,Total suspected cases,8/2/2014,Montserrado County,17.0
18915,Total probable cases,8/2/2014,Montserrado County,69.0
18916,Total confirmed cases,8/2/2014,Montserrado County,42.0
18917,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Montserrado County,
18918,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Montserrado County,
20721,Specimens collected,8/2/2014,National,11.0
20722,Specimens pending for testing,8/2/2014,National,20.0
20723,Total specimens tested,8/2/2014,National,18.0
20724,Newly reported deaths,8/2/2014,National,13.0
20725,Total death/s in confirmed cases,8/2/2014,National,118.0
20726,Total death/s in probable cases,8/2/2014,National,99.0
20727,Total death/s in suspected cases,8/2/2014,National,40.0
20728,"Total death/s in confirmed, probable, suspected cases",8/2/2014,National,257.0
20729,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,National,
20730,Newly reported contacts,8/2/2014,National,5.0
20731,Total contacts listed,8/2/2014,National,940.0
20732,Currently under follow-up,8/2/2014,National,899.0
20733,Contacts seen,8/2/2014,National,738.0
20734,Contacts who completed 21 day follow-up,8/2/2014,National,7.0
20735,Contacts lost to follow-up,8/2/2014,National,2.0
20736,New admissions,8/2/2014,National,11.0
20737,Total no. currently in Treatment Units,8/2/2014,National,40.0
20738,Total discharges,8/2/2014,National,5.0
20739,Cumulative admission/isolation,8/2/2014,National,40.0
20740,Newly Reported Cases in HCW,8/2/2014,National,0.0
20741,Cumulative cases among HCW,8/2/2014,National,60.0
20742,Newly Reported deaths in HCW,8/2/2014,National,0.0
20743,Cumulative deaths among HCW,8/2/2014,National,35.0
20744,New Case/s (Suspected),8/2/2014,National,2.0
20745,New Case/s (Probable),8/2/2014,National,9.0
20746,New case/s (confirmed),8/2/2014,National,0.0
20747,Total suspected cases,8/2/2014,National,107.0
20748,Total probable cases,8/2/2014,National,232.0
20749,Total confirmed cases,8/2/2014,National,132.0
20750,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,National,12.0
20751,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,National,
22554,Specimens collected,8/2/2014,Nimba County,4.0
22555,Specimens pending for testing,8/2/2014,Nimba County,4.0
22556,Total specimens tested,8/2/2014,Nimba County,
22557,Newly reported deaths,8/2/2014,Nimba County,1.0
22558,Total death/s in confirmed cases,8/2/2014,Nimba County,2.0
22559,Total death/s in probable cases,8/2/2014,Nimba County,3.0
22560,Total death/s in suspected cases,8/2/2014,Nimba County,0.0
22561,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Nimba County,5.0
22562,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Nimba County,
22563,Newly reported contacts,8/2/2014,Nimba County,5.0
22564,Total contacts listed,8/2/2014,Nimba County,55.0
22565,Currently under follow-up,8/2/2014,Nimba County,46.0
22566,Contacts seen,8/2/2014,Nimba County,46.0
22567,Contacts who completed 21 day follow-up,8/2/2014,Nimba County,7.0
22568,Contacts lost to follow-up,8/2/2014,Nimba County,2.0
22569,New admissions,8/2/2014,Nimba County,
22570,Total no. currently in Treatment Units,8/2/2014,Nimba County,
22571,Total discharges,8/2/2014,Nimba County,
22572,Cumulative admission/isolation,8/2/2014,Nimba County,
22573,Newly Reported Cases in HCW,8/2/2014,Nimba County,
22574,Cumulative cases among HCW,8/2/2014,Nimba County,1.0
22575,Newly Reported deaths in HCW,8/2/2014,Nimba County,
22576,Cumulative deaths among HCW,8/2/2014,Nimba County,
22577,New Case/s (Suspected),8/2/2014,Nimba County,
22578,New Case/s (Probable),8/2/2014,Nimba County,1.0
22579,New case/s (confirmed),8/2/2014,Nimba County,
22580,Total suspected cases,8/2/2014,Nimba County,3.0
22581,Total probable cases,8/2/2014,Nimba County,5.0
22582,Total confirmed cases,8/2/2014,Nimba County,5.0
22583,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Nimba County,
22584,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Nimba County,
24387,Specimens collected,8/2/2014,River Gee County,
24388,Specimens pending for testing,8/2/2014,River Gee County,
24389,Total specimens tested,8/2/2014,River Gee County,
24390,Newly reported deaths,8/2/2014,River Gee County,
24391,Total death/s in confirmed cases,8/2/2014,River Gee County,
24392,Total death/s in probable cases,8/2/2014,River Gee County,
24393,Total death/s in suspected cases,8/2/2014,River Gee County,
24394,"Total death/s in confirmed, probable, suspected cases",8/2/2014,River Gee County,
24395,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,River Gee County,
24396,Newly reported contacts,8/2/2014,River Gee County,
24397,Total contacts listed,8/2/2014,River Gee County,
24398,Currently under follow-up,8/2/2014,River Gee County,
24399,Contacts seen,8/2/2014,River Gee County,
24400,Contacts who completed 21 day follow-up,8/2/2014,River Gee County,
24401,Contacts lost to follow-up,8/2/2014,River Gee County,
24402,New admissions,8/2/2014,River Gee County,
24403,Total no. currently in Treatment Units,8/2/2014,River Gee County,
24404,Total discharges,8/2/2014,River Gee County,
24405,Cumulative admission/isolation,8/2/2014,River Gee County,
24406,Newly Reported Cases in HCW,8/2/2014,River Gee County,
24407,Cumulative cases among HCW,8/2/2014,River Gee County,
24408,Newly Reported deaths in HCW,8/2/2014,River Gee County,
24409,Cumulative deaths among HCW,8/2/2014,River Gee County,
24410,New Case/s (Suspected),8/2/2014,River Gee County,
24411,New Case/s (Probable),8/2/2014,River Gee County,
24412,New case/s (confirmed),8/2/2014,River Gee County,
24413,Total suspected cases,8/2/2014,River Gee County,
24414,Total probable cases,8/2/2014,River Gee County,
24415,Total confirmed cases,8/2/2014,River Gee County,
24416,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,River Gee County,
24417,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,River Gee County,
26220,Specimens collected,8/2/2014,RiverCess County,
26221,Specimens pending for testing,8/2/2014,RiverCess County,
26222,Total specimens tested,8/2/2014,RiverCess County,
26223,Newly reported deaths,8/2/2014,RiverCess County,0.0
26224,Total death/s in confirmed cases,8/2/2014,RiverCess County,0.0
26225,Total death/s in probable cases,8/2/2014,RiverCess County,1.0
26226,Total death/s in suspected cases,8/2/2014,RiverCess County,0.0
26227,"Total death/s in confirmed, probable, suspected cases",8/2/2014,RiverCess County,1.0
26228,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,RiverCess County,
26229,Newly reported contacts,8/2/2014,RiverCess County,
26230,Total contacts listed,8/2/2014,RiverCess County,
26231,Currently under follow-up,8/2/2014,RiverCess County,
26232,Contacts seen,8/2/2014,RiverCess County,
26233,Contacts who completed 21 day follow-up,8/2/2014,RiverCess County,
26234,Contacts lost to follow-up,8/2/2014,RiverCess County,
26235,New admissions,8/2/2014,RiverCess County,
26236,Total no. currently in Treatment Units,8/2/2014,RiverCess County,
26237,Total discharges,8/2/2014,RiverCess County,
26238,Cumulative admission/isolation,8/2/2014,RiverCess County,
26239,Newly Reported Cases in HCW,8/2/2014,RiverCess County,
26240,Cumulative cases among HCW,8/2/2014,RiverCess County,
26241,Newly Reported deaths in HCW,8/2/2014,RiverCess County,
26242,Cumulative deaths among HCW,8/2/2014,RiverCess County,
26243,New Case/s (Suspected),8/2/2014,RiverCess County,
26244,New Case/s (Probable),8/2/2014,RiverCess County,
26245,New case/s (confirmed),8/2/2014,RiverCess County,
26246,Total suspected cases,8/2/2014,RiverCess County,
26247,Total probable cases,8/2/2014,RiverCess County,1.0
26248,Total confirmed cases,8/2/2014,RiverCess County,
26249,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,RiverCess County,
26250,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,RiverCess County,
28053,Specimens collected,8/2/2014,Sinoe County,
28054,Specimens pending for testing,8/2/2014,Sinoe County,
28055,Total specimens tested,8/2/2014,Sinoe County,
28056,Newly reported deaths,8/2/2014,Sinoe County,
28057,Total death/s in confirmed cases,8/2/2014,Sinoe County,
28058,Total death/s in probable cases,8/2/2014,Sinoe County,
28059,Total death/s in suspected cases,8/2/2014,Sinoe County,
28060,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Sinoe County,
28061,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Sinoe County,
28062,Newly reported contacts,8/2/2014,Sinoe County,
28063,Total contacts listed,8/2/2014,Sinoe County,
28064,Currently under follow-up,8/2/2014,Sinoe County,
28065,Contacts seen,8/2/2014,Sinoe County,
28066,Contacts who completed 21 day follow-up,8/2/2014,Sinoe County,
28067,Contacts lost to follow-up,8/2/2014,Sinoe County,
28068,New admissions,8/2/2014,Sinoe County,
28069,Total no. currently in Treatment Units,8/2/2014,Sinoe County,
28070,Total discharges,8/2/2014,Sinoe County,
28071,Cumulative admission/isolation,8/2/2014,Sinoe County,
28072,Newly Reported Cases in HCW,8/2/2014,Sinoe County,
28073,Cumulative cases among HCW,8/2/2014,Sinoe County,
28074,Newly Reported deaths in HCW,8/2/2014,Sinoe County,
28075,Cumulative deaths among HCW,8/2/2014,Sinoe County,
28076,New Case/s (Suspected),8/2/2014,Sinoe County,
28077,New Case/s (Probable),8/2/2014,Sinoe County,
28078,New case/s (confirmed),8/2/2014,Sinoe County,
28079,Total suspected cases,8/2/2014,Sinoe County,
28080,Total probable cases,8/2/2014,Sinoe County,
28081,Total confirmed cases,8/2/2014,Sinoe County,
28082,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Sinoe County,
28083,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Sinoe County,
29886,Specimens collected,8/2/2014,Unnamed: 3,
29887,Specimens pending for testing,8/2/2014,Unnamed: 3,
29888,Total specimens tested,8/2/2014,Unnamed: 3,
29889,Newly reported deaths,8/2/2014,Unnamed: 3,
29890,Total death/s in confirmed cases,8/2/2014,Unnamed: 3,
29891,Total death/s in probable cases,8/2/2014,Unnamed: 3,
29892,Total death/s in suspected cases,8/2/2014,Unnamed: 3,
29893,"Total death/s in confirmed, probable, suspected cases",8/2/2014,Unnamed: 3,
29894,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,Unnamed: 3,
29895,Newly reported contacts,8/2/2014,Unnamed: 3,
29896,Total contacts listed,8/2/2014,Unnamed: 3,
29897,Currently under follow-up,8/2/2014,Unnamed: 3,
29898,Contacts seen,8/2/2014,Unnamed: 3,
29899,Contacts who completed 21 day follow-up,8/2/2014,Unnamed: 3,
29900,Contacts lost to follow-up,8/2/2014,Unnamed: 3,
29901,New admissions,8/2/2014,Unnamed: 3,
29902,Total no. currently in Treatment Units,8/2/2014,Unnamed: 3,
29903,Total discharges,8/2/2014,Unnamed: 3,
29904,Cumulative admission/isolation,8/2/2014,Unnamed: 3,
29905,Newly Reported Cases in HCW,8/2/2014,Unnamed: 3,
29906,Cumulative cases among HCW,8/2/2014,Unnamed: 3,
29907,Newly Reported deaths in HCW,8/2/2014,Unnamed: 3,
29908,Cumulative deaths among HCW,8/2/2014,Unnamed: 3,
29909,New Case/s (Suspected),8/2/2014,Unnamed: 3,
29910,New Case/s (Probable),8/2/2014,Unnamed: 3,
29911,New case/s (confirmed),8/2/2014,Unnamed: 3,
29912,Total suspected cases,8/2/2014,Unnamed: 3,
29913,Total probable cases,8/2/2014,Unnamed: 3,
29914,Total confirmed cases,8/2/2014,Unnamed: 3,
29915,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,Unnamed: 3,
29916,Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,Unnamed: 3,
744,Specimens collected,8/20/14,Bomi County,
745,Specimens pending for testing,8/20/14,Bomi County,
746,Total specimens tested,8/20/14,Bomi County,
747,Newly reported deaths,8/20/14,Bomi County,
748,Total death/s in confirmed cases,8/20/14,Bomi County,8.0
749,Total death/s in probable cases,8/20/14,Bomi County,6.0
750,Total death/s in suspected cases,8/20/14,Bomi County,
751,"Total death/s in confirmed, probable, suspected cases",8/20/14,Bomi County,14.0
752,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/20/14,Bomi County,
753,Newly reported contacts,8/20/14,Bomi County,
754,Total contacts listed,8/20/14,Bomi County,64.0
755,Currently under follow-up,8/20/14,Bomi County,54.0
756,Contacts seen,8/20/14,Bomi County,
757,Contacts who completed 21 day follow-up,8/20/14,Bomi County,
758,Contacts lost to follow-up,8/20/14,Bomi County,
759,New admissions,8/20/14,Bomi County,
760,Total no. currently in Treatment Units,8/20/14,Bomi County,
761,Total discharges,8/20/14,Bomi County,
762,Cumulative admission/isolation,8/20/14,Bomi County,
763,Newly Reported Cases in HCW,8/20/14,Bomi County,
764,Cumulative cases among HCW,8/20/14,Bomi County,4.0
765,Newly Reported deaths in HCW,8/20/14,Bomi County,
766,Cumulative deaths among HCW,8/20/14,Bomi County,4.0
767,New Case/s (Suspected),8/20/14,Bomi County,
768,New Case/s (Probable),8/20/14,Bomi County,
769,New case/s (confirmed),8/20/14,Bomi County,
770,Total suspected cases,8/20/14,Bomi County,4.0
771,Total probable cases,8/20/14,Bomi County,28.0
772,Total confirmed cases,8/20/14,Bomi County,9.0
773,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/20/14,Bomi County,
774,Total Number of Confirmed Cases of Guinean Nationality,8/20/14,Bomi County,
2577,Specimens collected,8/20/14,Bong County,2.0
2578,Specimens pending for testing,8/20/14,Bong County,8.0
2579,Total specimens tested,8/20/14,Bong County,
2580,Newly reported deaths,8/20/14,Bong County,3.0
2581,Total death/s in confirmed cases,8/20/14,Bong County,10.0
2582,Total death/s in probable cases,8/20/14,Bong County,11.0
2583,Total death/s in suspected cases,8/20/14,Bong County,13.0
2584,"Total death/s in confirmed, probable, suspected cases",8/20/14,Bong County,34.0
2585,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/20/14,Bong County,
2586,Newly reported contacts,8/20/14,Bong County,39.0
2587,Total contacts listed,8/20/14,Bong County,339.0
2588,Currently under follow-up,8/20/14,Bong County,241.0
2589,Contacts seen,8/20/14,Bong County,165.0
2590,Contacts who completed 21 day follow-up,8/20/14,Bong County,
2591,Contacts lost to follow-up,8/20/14,Bong County,
2592,New admissions,8/20/14,Bong County,
2593,Total no. currently in Treatment Units,8/20/14,Bong County,
2594,Total discharges,8/20/14,Bong County,
2595,Cumulative admission/isolation,8/20/14,Bong County,
2596,Newly Reported Cases in HCW,8/20/14,Bong County,
2597,Cumulative cases among HCW,8/20/14,Bong County,24.0
2598,Newly Reported deaths in HCW,8/20/14,Bong County,1.0
2599,Cumulative deaths among HCW,8/20/14,Bong County,5.0
2600,New Case/s (Suspected),8/20/14,Bong County,7.0
2601,New Case/s (Probable),8/20/14,Bong County,
2602,New case/s (confirmed),8/20/14,Bong County,
2603,Total suspected cases,8/20/14,Bong County,61.0
2604,Total probable cases,8/20/14,Bong County,29.0
2605,Total confirmed cases,8/20/14,Bong County,20.0
2606,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/20/14,Bong County,
2607,Total Number of Confirmed Cases of Guinean Nationality,8/20/14,Bong County,
4410,Specimens collected,8/20/14,Gbarpolu County,
4411,Specimens pending for testing,8/20/14,Gbarpolu County,
4412,Total specimens tested,8/20/14,Gbarpolu County,
4413,Newly reported deaths,8/20/14,Gbarpolu County,
4414,Total death/s in confirmed cases,8/20/14,Gbarpolu County,
4415,Total death/s in probable cases,8/20/14,Gbarpolu County,
4416,Total death/s in suspected cases,8/20/14,Gbarpolu County,
4417,"Total death/s in confirmed, probable, suspected cases",8/20/14,Gbarpolu County,
4418,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/20/14,Gbarpolu County,
4419,Newly reported contacts,8/20/14,Gbarpolu County,
4420,Total contacts listed,8/20/14,Gbarpolu County,
4421,Currently under follow-up,8/20/14,Gbarpolu County,
4422,Contacts seen,8/20/14,Gbarpolu County,
4423,Contacts who completed 21 day follow-up,8/20/14,Gbarpolu County,
4424,Contacts lost to follow-up,8/20/14,Gbarpolu County,
4425,New admissions,8/20/14,Gbarpolu County,
4426,Total no. currently in Treatment Units,8/20/14,Gbarpolu County,
4427,Total discharges,8/20/14,Gbarpolu County,
4428,Cumulative admission/isolation,8/20/14,Gbarpolu County,
4429,Newly Reported Cases in HCW,8/20/14,Gbarpolu County,
4430,Cumulative cases among HCW,8/20/14,Gbarpolu County,
4431,Newly Reported deaths in HCW,8/20/14,Gbarpolu County,
4432,Cumulative deaths among HCW,8/20/14,Gbarpolu County,
4433,New Case/s (Suspected),8/20/14,Gbarpolu County,
4434,New Case/s (Probable),8/20/14,Gbarpolu County,
4435,New case/s (confirmed),8/20/14,Gbarpolu County,
4436,Total suspected cases,8/20/14,Gbarpolu County,
4437,Total probable cases,8/20/14,Gbarpolu County,
4438,Total confirmed cases,8/20/14,Gbarpolu County,
4439,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/20/14,Gbarpolu County,
4440,Total Number of Confirmed Cases of Guinean Nationality,8/20/14,Gbarpolu County,
6243,Specimens collected,8/20/14,Grand Bassa,
6244,Specimens pending for testing,8/20/14,Grand Bassa,2.0
6245,Total specimens tested,8/20/14,Grand Bassa,
6246,Newly reported deaths,8/20/14,Grand Bassa,
6247,Total death/s in confirmed cases,8/20/14,Grand Bassa,1.0
6248,Total death/s in probable cases,8/20/14,Grand Bassa,1.0
6249,Total death/s in suspected cases,8/20/14,Grand Bassa,
6250,"Total death/s in confirmed, probable, suspected cases",8/20/14,Grand Bassa,2.0
6251,Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/20/14,Grand Bassa,
6252,Newly reported contacts,8/20/14,Grand Bassa,
6253,Total contacts listed,8/20/14,Grand Bassa,10.0
6254,Currently under follow-up,8/20/14,Grand Bassa,10.0
6255,Contacts seen,8/20/14,Grand Bassa,
6256,Contacts who completed 21 day follow-up,8/20/14,Grand Bassa,
6257,Contacts lost to follow-up,8/20/14,Grand Bassa,
6258,New admissions,8/20/14,Grand Bassa,
6259,Total no. currently in Treatment Units,8/20/14,Grand Bassa,
6260,Total discharges,8/20/14,Grand Bassa,
6261,Cumulative admission/isolation,8/20/14,Grand Bassa,
6262,Newly Reported Cases in HCW,8/20/14,Grand Bassa,
6263,Cumulative cases among HCW,8/20/14,Grand Bassa,3.0
6264,Newly Reported deaths in HCW,8/20/14,Grand Bassa,
6265,Cumulative deaths among HCW,8/20/14,Grand Bassa,
6266,New Case/s (Suspected),8/20/14,Grand Bassa,
6267,New Case/s (Probable),8/20/14,Grand Bassa,
6268,New case/s (confirmed),8/20/14,Grand Bassa,
6269,Total suspected cases,8/20/14,Grand Bassa,8.0
6270,Total probable cases,8/20/14,Grand Bassa,1.0
6271,Total confirmed cases,8/20/14,Grand Bassa,6.0
6272,Total Number of Confirmed Cases of Sierra Leonean Nationality,8/20/14,Grand Bassa,
6273,Total Number of Confirmed Cases of Guinean Nationality,8/20/14,Grand Bassa,
8076,Specimens collected,8/20/14,Grand Cape Mount,
8077,Specimens pending for testing,8/20/14,Grand Cape Mount,1.0
8078,Total specimens tested,8/20/14,Grand Cape Mount,
8079,Newly reported deaths,8/20/14,Grand Cape Mount,
8080,Total death/s in confirmed cases,8/20/14,Grand Cape Mount,4.0
8081,Total death/s in probable cases,8/20/14,Grand Cape Mount,1.0
8082,Total death/s in suspected cases,8/20/14,Grand Cape Mount,2.0
