Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
Total suspected cases,8/4/14,4,,,,33,,19,,121,3,,,57,,,,5
Total probable cases,8/4/14,18,,,1,16,,75,,250,5,,,131,,1,1,2
Total confirmed cases,8/4/14,7,,,,10,,43,,137,5,,,67,,3,,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/4/14,0,,,,0,,,,12,,,,11,,1,,
Total Number of Confirmed Cases of Guinean Nationality,8/4/14,0,,,,0,,,,0,,,,,,,,
Specimens collected,8/12/2014,,,,2,,,34,,2,,,,,,,,
Specimens pending for testing,8/12/2014,,,,2,,,15,,12,3,,,6,,,,1
Total specimens tested,8/12/2014,,,,,,,19,,75,,,,56,,,,
Newly reported deaths,8/12/2014,,,,,9,,6,,29,2,,,11,,1,,
Total death/s in confirmed cases,8/12/2014,7,,,1,7,,51,,147,4,,,73,,2,,2
Total death/s in probable cases,8/12/2014,6,,,1,11,,63,,163,5,,,75,,1,1,
Total death/s in suspected cases,8/12/2014,,,,,3,,24,,55,1,,,24,,,,3
"Total death/s in confirmed, probable, suspected cases",8/12/2014,13,,,2,21,,138,,365,10,,,172,,3,1,5
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/12/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/12/2014,,,,10,55,,59,,173,,,,49,,,,
Total contacts listed,8/12/2014,63,,,10,195,,714,,1481,72,,,393,,,6,28
Currently under follow-up,8/12/2014,63,,,10,156,,582,,1183,21,,,342,,,4,5
Contacts seen,8/12/2014,60,,,10,78,,558,,1069,21,,,342,,,,
Contacts who completed 21 day follow-up,8/12/2014,,,,,,,18,,69,,,,51,,,,
Contacts lost to follow-up,8/12/2014,3,,,,1,,24,,28,,,,,,,,
New admissions,8/12/2014,,,,,,,7,,32,,,,25,,,,
Total no. currently in Treatment Units,8/12/2014,,,,,,,47,,164,,,,117,,,,
Total discharges,8/12/2014,,,,,,,4,,9,,,,9,,,,
Cumulative admission/isolation,8/12/2014,,,,,,,47,,164,,,,117,,,,
Newly Reported Cases in HCW,8/12/2014,,,,,,,,,1,,,,1,,,,
Cumulative cases among HCW,8/12/2014,4,,,3,24,,33,,85,1,,,16,,,,4
Newly Reported deaths in HCW,8/12/2014,,,,,,,,,1,,,,1,,,,
Cumulative deaths among HCW,8/12/2014,4,,,,4,,15,,36,,,,13,,,,
New Case/s (Suspected),8/12/2014,,,,2,3,,4,,9,,,,,,,,
New Case/s (Probable),8/12/2014,,,,,2,,7,,49,,,,40,,,,
New case/s (confirmed),8/12/2014,,,,,,,0,,2,1,,,,,1,,
Total suspected cases,8/12/2014,4,,,7,41,,28,,155,5,,,61,,,,9
Total probable cases,8/12/2014,28,,,1,25,,110,,390,5,,,218,,1,,2
Total confirmed cases,8/12/2014,9,,,6,14,,43,,176,7,,,90,,4,1,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/12/2014,,,,,,,,,12,,,,11,,1,,
Total Number of Confirmed Cases of Guinean Nationality,8/12/2014,,,,,,,,,,,,,,,,,
Specimens collected,8/15/2014,0,,0,0,0,,12,,70,2,0,0,56,,0,0,0
Specimens pending for testing,8/15/2014,0,,0,2,3,,11,,82,6,0,0,56,,1,0,3
Total specimens tested,8/15/2014,0,,0,0,0,,1,,31,0,0,0,30,,0,0,0
Newly reported deaths,8/15/2014,1,,1,0,0,,4,,17,0,0,0,10,,1,0,0
Total death/s in confirmed cases,8/15/2014,8,,0,1,7,,60,,172,4,0,0,86,,3,0,3
Total death/s in probable cases,8/15/2014,6,,0,1,11,,86,,200,6,0,0,86,,1,1,2
Total death/s in suspected cases,8/15/2014,0,,1,0,5,,39,,83,1,0,0,30,,2,0,5
"Total death/s in confirmed, probable, suspected cases",8/15/2014,14,,1,2,23,,185,,455,11,0,0,202,,6,1,10
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/15/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/15/2014,0,,0,0,1,,22,,59,15,0,0,21,,0,0,0
Total contacts listed,8/15/2014,64,,0,10,218,,860,,1777,118,0,0,442,,31,6,28
Currently under follow-up,8/15/2014,59,,0,10,161,,532,,1265,59,0,0,404,,31,4,5
Contacts seen,8/15/2014,59,,0,10,58,,482,,1103,59,0,0,404,,31,0,0
Contacts who completed 21 day follow-up,8/15/2014,5,,0,0,37,,20,,100,0,0,0,38,,0,0,0
Contacts lost to follow-up,8/15/2014,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0
New admissions,8/15/2014,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0
Total no. currently in Treatment Units,8/15/2014,0,,0,0,0,,77,,196,0,0,0,119,,0,0,0
Total discharges,8/15/2014,0,,0,0,0,,2,,2,0,0,0,0,,0,0,0
Cumulative admission/isolation,8/15/2014,0,,0,0,0,,77,,196,0,0,0,119,,0,0,0
Newly Reported Cases in HCW,8/15/2014,0,,0,0,0,,2,,2,0,0,0,0,,0,0,0
Cumulative cases among HCW,8/15/2014,4,,0,3,24,,37,,92,1,0,0,16,,3,0,4
Newly Reported deaths in HCW,8/15/2014,0,,0,0,0,,2,,3,0,0,0,0,,0,0,1
Cumulative deaths among HCW,8/15/2014,4,,0,0,4,,20,,42,0,0,0,13,,0,0,1
New Case/s (Suspected),8/15/2014,0,,1,0,0,,4,,10,3,0,0,0,,1,0,1
New Case/s (Probable),8/15/2014,0,,0,0,0,,2,,5,2,0,0,0,,0,0,1
New case/s (confirmed),8/15/2014,0,,0,0,4,,0,,4,0,0,0,0,,0,0,0
Total suspected cases,8/15/2014,4,,1,8,44,,48,,190,9,0,0,61,,1,0,14
Total probable cases,8/15/2014,28,,0,1,25,,132,,442,7,0,0,244,,3,0,2
Total confirmed cases,8/15/2014,9,,0,6,18,,43,,194,7,0,0,104,,4,1,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/15/2014,0,,0,0,0,,0,,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,8/15/2014,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0
Specimens collected,8/17/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,8/17/2014,,,,3,3,,11,,24,3,,,,,1,,4
Total specimens tested,8/17/2014,,,,,,,,,23,,,,23,,,,
Newly reported deaths,8/17/2014,,,,,,,5,,11,,,,3,,,,3
Total death/s in confirmed cases,8/17/2014,8,,,1,8,,61,,180,4,,,92,,3,,3
Total death/s in probable cases,8/17/2014,6,,,1,11,,88,,204,6,,,87,,1,1,3
Total death/s in suspected cases,8/17/2014,,,1,,6,,45,,97,1,,,34,,2,,8
"Total death/s in confirmed, probable, suspected cases",8/17/2014,14,,1,2,25,,194,,481,11,,,213,,6,1,14
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/17/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/17/2014,,,,,,,52,,107,,,,,,,,55
Total contacts listed,8/17/2014,64,,,10,248,,956,,2024,118,,,490,,31,6,101
Currently under follow-up,8/17/2014,59,,,10,191,,390,,1180,59,,,358,,31,4,78
Contacts seen,8/17/2014,,,,10,,,359,,895,59,,,358,,31,,78
Contacts who completed 21 day follow-up,8/17/2014,,,,,,,13,,45,,,,35,,,,
Contacts lost to follow-up,8/17/2014,,,,,,,,,,,,,,,,,
New admissions,8/17/2014,,,,,,,,,10,,,,10,,,,
Total no. currently in Treatment Units,8/17/2014,,,,,,,109,,207,,,,98,,,,
Total discharges,8/17/2014,,,,,,,,,0,,,,32,,,,
Cumulative admission/isolation,8/17/2014,,,,,,,109,,207,,,,98,,,,
Newly Reported Cases in HCW,8/17/2014,,,,,,,,,,,,,,,,,
Cumulative cases among HCW,8/17/2014,4,,,3,24,,37,,93,1,,,17,,3,,4
Newly Reported deaths in HCW,8/17/2014,,,,,,,,,,,,,,,,,
Cumulative deaths among HCW,8/17/2014,4,,,,4,,20,,42,,,,13,,,,1
New Case/s (Suspected),8/17/2014,,,,,1,,5,,14,,,,,,,,8
New Case/s (Probable),8/17/2014,,,,,,,,,10,,,,10,,,,
New case/s (confirmed),8/17/2014,,,,,,,,,0,,,,,,,,
Total suspected cases,8/17/2014,4,,1,8,46,,56,,212,11,,,61,,1,,24
Total probable cases,8/17/2014,28,,,1,25,,134,,442,7,,,240,,3,,4
Total confirmed cases,8/17/2014,9,,,6,18,,43,,208,7,,,118,,4,1,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/17/2014,,,,,,,,,13,,,,11,,2,,
Total Number of Confirmed Cases of Guinean Nationality,8/17/2014,,,,,,,,,,,,,,,,,
Specimens collected,8/18/2014,,,,,3,,5,,12,4,,,,,,,
Specimens pending for testing,8/18/2014,,,,2,6,,16,,51,22,,,,,1,,4
Total specimens tested,8/18/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,8/18/2014,,,,,4,,12,,30,4,,,5,,,,5
Total death/s in confirmed cases,8/18/2014,8,,,1,9,,62,,206,6,,,94,,3,,23
Total death/s in probable cases,8/18/2014,6,,,1,11,,93,,237,13,,,90,,1,1,21
Total death/s in suspected cases,8/18/2014,,,1,,9,,51,,122,6,,,34,,2,,19
"Total death/s in confirmed, probable, suspected cases",8/18/2014,14,,1,2,29,,206,,565,25,,,218,,6,1,63
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/18/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/18/2014,,,,,52,,193,,281,31,,,,,,,5
Total contacts listed,8/18/2014,64,,,10,300,,1149,,2308,152,,,490,,31,6,106
Currently under follow-up,8/18/2014,54,,,10,243,,688,,1561,94,,,358,,27,4,83
Contacts seen,8/18/2014,54,,,,150,,610,,1376,94,,,358,,27,,83
Contacts who completed 21 day follow-up,8/18/2014,5,,,,37,,46,,88,,,,,,,,
Contacts lost to follow-up,8/18/2014,,,,,4,,13,,21,,,,,,4,,
New admissions,8/18/2014,,,,,,,,,14,,,,14,,,,
Total no. currently in Treatment Units,8/18/2014,,,,,,,97,,164,,,,67,,,,
Total discharges,8/18/2014,,,,,,,,,,,,,,,,,
Cumulative admission/isolation,8/18/2014,,,,,,,97,,164,,,,67,,,,
Newly Reported Cases in HCW,8/18/2014,,,,,,,1,,1,,,,,,,,
Cumulative cases among HCW,8/18/2014,4,,,3,24,,38,,113,1,,,17,,3,,23
Newly Reported deaths in HCW,8/18/2014,,,,,,,1,,1,,,,,,,,
Cumulative deaths among HCW,8/18/2014,4,,,,4,,21,,58,,,,13,,,,
New Case/s (Suspected),8/18/2014,,,,,6,,10,,19,,,,,,,,3
New Case/s (Probable),8/18/2014,,,,,3,,13,,35,5,,,14,,,,
New case/s (confirmed),8/18/2014,,,,,2,,,,2,,,,,,,,
Total suspected cases,8/18/2014,4,,1,8,52,,66,,228,11,,,61,,1,,24
Total probable cases,8/18/2014,28,,,1,28,,147,,500,29,,,240,,3,,24
Total confirmed cases,8/18/2014,9,,,6,20,,43,,236,8,,,118,,4,1,27
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/18/2014,,,,,,,,,13,,,,11,,2,,
Total Number of Confirmed Cases of Guinean Nationality,8/18/2014,,,,,,,,,,,,,,,,,
Specimens collected,8/20/14,,,,,2,,,,41,1,,,38,,,,
Specimens pending for testing,8/20/14,,,,2,8,,16,,99,30,,,38,,1,,4
Total specimens tested,8/20/14,,,,,,,,,19,,,,19,,,,
Newly reported deaths,8/20/14,,,,,3,,7,,23,3,,,7,,,,3
Total death/s in confirmed cases,8/20/14,8,,,1,10,,62,,216,7,,,101,,4,,23
Total death/s in probable cases,8/20/14,6,,,1,11,,99,,265,20,,,100,,1,1,26
Total death/s in suspected cases,8/20/14,,,1,,13,,57,,132,6,,,34,,2,,19
"Total death/s in confirmed, probable, suspected cases",8/20/14,14,,1,2,34,,218,,613,33,,,235,,7,1,68
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/20/14,,,,,,,,,,,,,,,,,
Newly reported contacts,8/20/14,,,,,39,,78,,196,17,,,31,,,,31
Total contacts listed,8/20/14,64,,,10,339,,1306,,2643,198,,,552,,31,6,137
Currently under follow-up,8/20/14,54,,,10,241,,718,,1723,140,,,415,,27,4,114
Contacts seen,8/20/14,,,,,165,,675,,1536,140,,,415,,27,,114
Contacts who completed 21 day follow-up,8/20/14,,,,,,,4,,115,68,,,43,,,,
Contacts lost to follow-up,8/20/14,,,,,,,,,,,,,,,,,
New admissions,8/20/14,,,,,,,,,15,,,,15,,,,
Total no. currently in Treatment Units,8/20/14,,,,,,,,,82,,,,82,,,,
Total discharges,8/20/14,,,,,,,,,7,,,,7,,,,
Cumulative admission/isolation,8/20/14,,,,,,,,,82,,,,82,,,,
Newly Reported Cases in HCW,8/20/14,,,,,,,,,,,,,,,,,
Cumulative cases among HCW,8/20/14,4,,,3,24,,40,,115,1,,,17,,3,,23
Newly Reported deaths in HCW,8/20/14,,,,,1,,,,3,,,,2,,,,
Cumulative deaths among HCW,8/20/14,4,,,,5,,21,,61,,,,15,,,,16
New Case/s (Suspected),8/20/14,,,,,7,,9,,20,,,,1,,,,3
New Case/s (Probable),8/20/14,,,,,,,7,,27,2,,,14,,,,4
New case/s (confirmed),8/20/14,,,,,,,,,18,,,,18,,,,
Total suspected cases,8/20/14,4,,1,8,61,,83,,259,12,,,62,,1,,27
Total probable cases,8/20/14,28,,,1,29,,162,,552,37,,,260,,3,,32
Total confirmed cases,8/20/14,9,1,,6,20,,43,,263,8,,,144,,4,1,27
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/20/14,,,,,,,,,13,,,,11,,2,,
Total Number of Confirmed Cases of Guinean Nationality,8/20/14,,,,,,,,,,,,,,,,,
Specimens collected,8/25/2014,,,,,3,,,,4,,,1,,,,,
Specimens pending for testing,8/25/2014,,,,,3,,18,,38,,,1,,,,,16
Total specimens tested,8/25/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,8/25/2014,,,,,5,,5,,28,4,,4,10,,,,
Total death/s in confirmed cases,8/25/2014,19,,,1,11,,81,,280,22,,,119,,4,,23
Total death/s in probable cases,8/25/2014,10,,,1,11,,108,,309,26,,,117,,1,1,34
Total death/s in suspected cases,8/25/2014,,,1,,17,,89,,182,6,,5,34,,2,,28
"Total death/s in confirmed, probable, suspected cases",8/25/2014,29,,1,2,39,,278,,771,54,,5,270,,7,1,85
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/25/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/25/2014,,,,,14,,79,,151,41,,10,7,,,,
Total contacts listed,8/25/2014,64,,,10,410,,2065,,3957,270,,10,682,,31,6,409
Currently under follow-up,8/25/2014,54,,,10,275,,1247,,2524,74,,10,415,,27,4,408
Contacts seen,8/25/2014,,,,,275,,1126,,2308,74,,10,415,,,,408
Contacts who completed 21 day follow-up,8/25/2014,,,,,57,,11,,68,,,,,,,,
Contacts lost to follow-up,8/25/2014,,,,,,,13,,13,,,,,,,,
New admissions,8/25/2014,,,,,,,1,,12,,,,11,,,,
Total no. currently in Treatment Units,8/25/2014,,,,,,,41,,102,,,,61,,,,
Total discharges,8/25/2014,,,,,,,6,,35,,,,29,,,,
Cumulative admission/isolation,8/25/2014,,,,,,,41,,102,,,,61,,,,
Newly Reported Cases in HCW,8/25/2014,,,,,,,,,1,1,,,,,,,
Cumulative cases among HCW,8/25/2014,5,,,3,26,,45,,132,2,,,19,,3,,29
Newly Reported deaths in HCW,8/25/2014,,,,,,,,,,,,,,,,,
Cumulative deaths among HCW,8/25/2014,4,,,,5,,24,,67,,,,16,,,,18
New Case/s (Suspected),8/25/2014,,,,,4,,8,,16,,,4,,,,,
New Case/s (Probable),8/25/2014,,,,,,,1,,13,1,,,11,,,,
New case/s (confirmed),8/25/2014,,,,,,,,,0,,,,,,,,
Total suspected cases,8/25/2014,1,,2,8,72,,142,,398,14,1,5,63,,1,,89
Total probable cases,8/25/2014,24,,,1,30,,219,,675,44,,,306,,3,,48
Total confirmed cases,8/25/2014,21,,,6,20,,44,,322,25,1,,173,,4,1,27
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/25/2014,,,,,,,,,13,,,,11,,2,,
Total Number of Confirmed Cases of Guinean Nationality,8/25/2014,,,,,,,1,,1,,,,,,,,
Specimens collected,8/28/2014,2,,,,2,,,,25,2,,,19,,,,
Specimens pending for testing,8/28/2014,2,,,1,2,,,,41,17,,,19,,,,
Total specimens tested,8/28/2014,,,,,,,,,21,,,,21,,,,
Newly reported deaths,8/28/2014,1,,,,,,35,,51,2,,,9,,,,4
Total death/s in confirmed cases,8/28/2014,19,,,6,11,,104,,321,23,,,131,,4,,23
Total death/s in probable cases,8/28/2014,14,,,3,13,,121,,350,29,,,128,,1,1,40
Total death/s in suspected cases,8/28/2014,,,2,3,17,,110,,214,7,,5,34,,2,,34
"Total death/s in confirmed, probable, suspected cases",8/28/2014,33,,2,12,41,,335,,885,59,,5,293,,7,1,97
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/28/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/28/2014,11,,,,11,,128,,165,15,,,,,,,
Total contacts listed,8/28/2014,91,,,33,456,,2476,,4779,285,,,717,,30,6,685
Currently under follow-up,8/28/2014,46,,,33,274,,1346,,2790,101,,,367,,25,4,594
Contacts seen,8/28/2014,46,,,33,274,,1292,,2732,101,,,367,,25,,594
Contacts who completed 21 day follow-up,8/28/2014,,,,,,,46,,140,,,,94,,,,
Contacts lost to follow-up,8/28/2014,,,,,,,5,,10,,,,,,5,,
New admissions,8/28/2014,,,,,,,19,,28,,,,9,,,,
Total no. currently in Treatment Units,8/28/2014,,,,,,,195,,264,,,,69,,,,
Total discharges,8/28/2014,,,,,,,23,,31,,,,8,,,,
Cumulative admission/isolation,8/28/2014,,,,,,,195,,264,,,,69,,,,
Newly Reported Cases in HCW,8/28/2014,,,,,,,3,,3,,,,,,,,
Cumulative cases among HCW,8/28/2014,5,,,3,26,,51,,140,2,,,20,,3,,30
Newly Reported deaths in HCW,8/28/2014,,,,,,,2,,2,,,,,,,,
Cumulative deaths among HCW,8/28/2014,4,,,1,5,,28,,73,,,,17,,,,18
New Case/s (Suspected),8/28/2014,,,,,1,,11,,14,1,,,,,,,1
New Case/s (Probable),8/28/2014,,,,,1,,13,,25,,,,9,,,,2
New case/s (confirmed),8/28/2014,,,,,,,,,22,1,,,21,,,,
Total suspected cases,8/28/2014,1,,3,18,78,,174,1,460,16,1,5,63,,1,,99
Total probable cases,8/28/2014,30,,,11,34,,249,,753,58,,,307,,4,,60
Total confirmed cases,8/28/2014,21,,,11,20,,44,,369,30,1,,210,,4,1,27
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/28/2014,,,,,,,,,13,,,,11,,2,,
Total Number of Confirmed Cases of Guinean Nationality,8/28/2014,,,,,,,1,,1,,,,,,,,
Specimens collected,9/1/2014,3,,0,0,1,,0,0,13,1,0,0,8,,0,0,0
Specimens pending for testing,9/1/2014,3,,0,0,1,,0,0,13,1,0,0,8,,0,0,0
Total specimens tested,9/1/2014,0,,0,0,0,,0,0,27,0,0,0,27,,0,0,0
Newly reported deaths,9/1/2014,1,,0,0,0,,28,0,34,1,0,0,4,,0,0,0
Total death/s in confirmed cases,9/1/2014,19,,0,6,11,,155,0,390,27,0,0,143,,4,0,25
Total death/s in probable cases,9/1/2014,15,,0,3,13,,129,0,379,34,0,0,138,,2,1,44
Total death/s in suspected cases,9/1/2014,0,,2,3,17,,124,0,235,11,0,5,34,,2,0,37
"Total death/s in confirmed, probable, suspected cases",9/1/2014,34,,2,12,41,,408,0,1004,72,0,5,315,,8,1,106
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/1/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/1/2014,40,,0,0,0,,152,0,288,2,0,0,0,,0,0,94
Total contacts listed,9/1/2014,131,,0,33,475,,2833,0,5497,329,0,0,756,,30,6,904
Currently under follow-up,9/1/2014,77,,0,33,293,,905,0,2527,145,0,0,232,,25,4,813
Contacts seen,9/1/2014,75,,0,0,293,,877,0,2460,145,0,0,232,,25,0,813
Contacts who completed 21 day follow-up,9/1/2014,54,,0,0,0,,44,0,108,0,0,0,10,,0,0,0
Contacts lost to follow-up,9/1/2014,2,,0,0,0,,0,0,2,0,0,0,0,,0,0,0
New admissions,9/1/2014,0,,0,0,0,,32,0,32,0,0,0,0,,0,0,0
Total no. currently in Treatment Units,9/1/2014,0,,0,0,0,,220,0,86,0,0,0,66,,0,0,0
Total discharges,9/1/2014,0,,0,0,0,,19,0,25,0,0,0,6,,0,0,0
Cumulative admission/isolation,9/1/2014,0,,0,0,0,,220,0,86,0,0,0,66,,0,0,0
Newly Reported Cases in HCW,9/1/2014,0,,0,0,0,,3,0,4,1,0,0,0,,0,0,0
Cumulative cases among HCW,9/1/2014,5,,0,3,26,,57,0,149,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/1/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/1/2014,4,,0,1,5,,28,0,74,0,0,0,17,,0,0,19
New Case/s (Suspected),9/1/2014,0,,0,0,1,,17,0,27,1,0,0,0,,0,0,8
New Case/s (Probable),9/1/2014,1,,0,0,0,,23,0,32,2,0,0,0,,0,0,6
New case/s (confirmed),9/1/2014,10,,0,0,4,,0,0,14,0,0,0,0,,0,0,0
Total suspected cases,9/1/2014,1,,3,18,81,,201,1,512,17,1,5,63,,2,0,119
Total probable cases,9/1/2014,31,,0,11,36,,296,0,845,50,0,0,335,,4,0,82
Total confirmed cases,9/1/2014,31,,0,11,24,,44,0,406,40,1,0,220,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/1/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/1/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Specimens collected,9/2/2014,0,,0,0,3,,0,0,5,1,0,1,0,,0,0,0
Specimens pending for testing,9/2/2014,3,,0,0,3,,0,0,16,1,0,1,8,,0,0,0
Total specimens tested,9/2/2014,0,,0,0,0,,29,0,29,0,0,0,0,,0,0,0
Newly reported deaths,9/2/2014,0,,0,7,0,,29,0,47,0,0,0,5,,1,0,5
Total death/s in confirmed cases,9/2/2014,19,,0,13,11,,169,0,414,27,0,0,146,,4,0,25
Total death/s in probable cases,9/2/2014,15,,0,3,13,,133,0,390,34,0,0,140,,2,1,49
Total death/s in suspected cases,9/2/2014,0,,2,3,17,,135,0,247,11,0,5,34,,3,0,37
"Total death/s in confirmed, probable, suspected cases",9/2/2014,34,,2,19,41,,437,0,1051,72,0,5,320,,9,1,111
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/2/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/2/2014,9,,0,28,1,,157,0,255,0,0,9,4,,0,0,47
Total contacts listed,9/2/2014,131,,0,61,476,,2990,0,5743,329,0,9,760,,30,6,951
Currently under follow-up,9/2/2014,32,,0,61,294,,1478,0,3134,145,0,9,226,,25,4,860
Contacts seen,9/2/2014,32,,0,61,294,,1432,0,3080,145,0,5,226,,25,0,860
Contacts who completed 21 day follow-up,9/2/2014,0,,0,0,0,,67,0,81,0,0,0,14,,0,0,0
Contacts lost to follow-up,9/2/2014,0,,0,0,0,,1,0,5,0,0,4,0,,0,0,0
New admissions,9/2/2014,0,,0,0,0,,17,0,17,0,0,0,0,,0,0,0
Total no. currently in Treatment Units,9/2/2014,0,,0,0,0,,206,0,76,0,0,0,70,,0,0,0
Total discharges,9/2/2014,0,,0,0,0,,14,0,16,0,0,0,2,,0,0,0
Cumulative admission/isolation,9/2/2014,0,,0,0,0,,206,0,76,0,0,0,70,,0,0,0
Newly Reported Cases in HCW,9/2/2014,0,,0,0,0,,2,0,2,0,0,0,0,,0,0,0
Cumulative cases among HCW,9/2/2014,5,,0,3,26,,59,0,151,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/2/2014,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/2/2014,4,,0,1,5,,28,0,74,0,0,0,17,,0,0,19
New Case/s (Suspected),9/2/2014,0,,0,3,2,,22,0,35,0,0,1,0,,0,0,7
New Case/s (Probable),9/2/2014,0,,0,1,4,,13,0,38,0,0,3,10,,0,0,7
New case/s (confirmed),9/2/2014,0,,0,2,0,,0,0,3,1,0,0,0,,0,0,0
Total suspected cases,9/2/2014,1,,3,21,83,,42,1,366,17,1,6,63,,2,0,126
Total probable cases,9/2/2014,31,,0,12,40,,309,0,883,50,0,3,345,,4,0,89
Total confirmed cases,9/2/2014,31,,0,13,24,,225,0,590,41,1,0,220,,4,1,30
Total Number of Confirmed Cases of Sierra Leonean Nationality,9/2/2014,0,,0,0,0,,0,0,13,0,0,0,11,,2,0,0
Total Number of Confirmed Cases of Guinean Nationality,9/2/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
Specimens collected,9/3/2014,0,,0,0,3,,0,0,10,0,0,0,7,,0,0,0
Specimens pending for testing,9/3/2014,3,,0,0,3,,0,0,15,1,0,1,7,,0,0,0
Total specimens tested,9/3/2014,0,,0,0,0,,0,0,18,0,0,0,18,,0,0,0
Newly reported deaths,9/3/2014,0,,0,0,2,,14,0,27,3,0,0,7,,1,0,0
Total death/s in confirmed cases,9/3/2014,19,,0,13,11,,178,0,425,27,0,0,148,,4,0,25
Total death/s in probable cases,9/3/2014,15,,0,3,13,,133,0,399,37,0,0,145,,3,1,49
Total death/s in suspected cases,9/3/2014,0,,2,3,19,,140,0,254,11,0,5,34,,3,0,37
"Total death/s in confirmed, probable, suspected cases",9/3/2014,34,,2,19,43,,451,0,1078,75,0,5,327,,10,1,111
Case Fatality Rate (CFR) - Confirmed & Probable Cases,9/3/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,9/3/2014,9,,0,0,17,,87,0,166,53,0,0,0,,0,0,0
Total contacts listed,9/3/2014,140,,0,61,493,,3103,0,5935,382,0,9,760,,30,6,951
Currently under follow-up,9/3/2014,41,,0,61,311,,1613,0,3334,198,0,9,212,,25,4,860
Contacts seen,9/3/2014,41,,0,61,311,,1542,0,3235,198,0,0,212,,10,0,860
Contacts who completed 21 day follow-up,9/3/2014,0,,0,0,0,,178,0,231,0,0,0,34,,19,0,0
Contacts lost to follow-up,9/3/2014,0,,0,0,0,,1,0,1,0,0,0,0,,0,0,0
New admissions,9/3/2014,0,,0,0,0,,20,0,20,0,0,0,0,,0,0,0
Total no. currently in Treatment Units,9/3/2014,0,,0,0,0,,217,0,279,0,0,0,62,,0,0,0
Total discharges,9/3/2014,0,,0,0,0,,9,0,15,0,0,0,6,,0,0,0
Cumulative admission/isolation,9/3/2014,0,,0,0,0,,217,0,279,0,0,0,62,,0,0,0
Newly Reported Cases in HCW,9/3/2014,0,,0,0,0,,2,0,2,0,0,0,0,,0,0,0
Cumulative cases among HCW,9/3/2014,5,,0,3,26,,61,0,153,3,0,0,20,,3,0,32
Newly Reported deaths in HCW,9/3/2014,0,,0,0,0,,2,0,2,0,0,0,0,,0,0,0
Cumulative deaths among HCW,9/3/2014,4,,0,1,5,,30,0,76,0,0,0,17,,0,0,19
New Case/s (Suspected),9/3/2014,0,,0,0,2,,8,0,13,3,0,0,0,,0,0,0
New Case/s (Probable),9/3/2014,1,,0,0,1,,0,0,3,0,0,0,0,,1,0,0
New case/s (confirmed),9/3/2014,0,,0,0,0,,0,0,8,0,0,0,8,,0,0,0
Total suspected cases,9/3/2014,1,,3,21,85,,50,1,369,20,1,6,53,,2,0,126
